source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,ruwe,membership_probability,hr23_ruwe,hr23_nss
658642000872094464,130.57293726135418,17.98745571942109,5.377242046416947,0.08559342,16.643272,1207.7565,18.252228,85.8467,15.425571,443.91293,1.4568615,2.8266563,0.95156795,0.790259299601081,0.95156795,0.0
659393929386140288,130.46767220985745,18.05185515128366,5.52354474846067,0.022888288,14.333665,4526.931,15.272211,836.5091,13.376785,1126.0729,1.321691,1.8954258,1.0158657,0.709419844703536,1.0158657,0.0
659411796450014464,130.35057936644913,18.234042186181004,5.423180207356142,0.030814687,14.8558655,656.7428,15.970775,134.45561,13.7991495,244.52933,1.3737531,2.1716251,0.96284014,0.801204479676301,0.96284014,0.0
659466222275521792,129.95647966167485,18.347377160358484,5.334380785202341,0.024645975,9.0355015,4914.898,9.202791,1833.2052,8.733015,2470.7544,1.1778302,0.46977615,0.9885714,0.775080592894052,0.9885714,0.0
659488349947010176,130.07094601235195,18.60822834921865,5.55321627784875,0.13200141,17.26622,877.3618,18.938065,37.198677,16.015116,202.1941,1.4879581,2.9229488,1.0451701,0.714152755114571,1.0451701,0.0
659539236719824768,128.97712816613512,18.14929850967838,5.288050304467898,0.016194597,10.734722,2498.824,11.034366,1162.3893,10.274084,1735.4866,1.1936961,0.76028156,0.95886123,0.7099143061119,0.95886123,0.0
659561604909477632,129.09743818527716,18.40578964248189,5.279177539194327,0.03356264,15.156292,2149.4263,16.288668,286.83392,14.102225,947.3302,1.3668928,2.1864424,1.0169986,0.725026953989601,1.0169986,0.0
659645030354241536,129.4090999857364,18.482426841969527,5.331996735843282,0.01842755,12.764074,1356.0994,13.312497,314.88687,12.0323515,225.14552,1.2634728,1.2801456,1.0213232,0.766766203098922,1.0213232,0.0
659656094190005376,129.2237661392581,18.4958004661356,5.366900495937691,0.019191096,13.473628,3463.6318,14.187152,692.4013,12.656209,1197.9143,1.2695627,1.5309429,0.9841724,0.722144092605206,0.9841724,0.0
659660316141171968,129.09680151871962,18.545039602853976,5.5283398138640525,0.3527654,19.252697,327.83267,21.075052,7.9980664,17.922047,57.40733,1.5691149,3.1530056,0.93567985,0.762395034019827,0.93567985,0.0
659665096441437184,129.38765307200663,18.65427983102634,5.541342618185383,0.01947381,10.532542,2879.7358,10.828239,968.38904,10.077238,923.0016,1.1925467,0.75100136,0.8089702,0.718581799619916,0.8089702,0.0
659668635494494848,129.2654407070691,18.667301036225563,5.509458536804253,0.020690085,13.576638,4041.5688,14.335979,1078.147,12.729268,2259.331,1.2790275,1.6067114,1.0666949,0.788967841969861,1.0666949,0.0
