GaiaDR3,Prob,Gmag,BPmag,RPmag,RUWE,NSS
5337842878019390592,0.700935461376817,16.339611,17.231426,15.41178,0.9560753,0
5337878474711464320,0.722160199608645,14.647108,15.159605,13.983582,0.9481003,0
5337880742453996416,0.798176285653187,15.813695,16.566662,14.971185,1.0123899,0
5337881322245000704,0.707800342617509,18.440533,19.92729,17.286814,0.9730813,0
5337882013764376448,0.779758860993879,14.806269,15.346309,14.117752,1.0485227,0
5337882391721514624,0.81672092425897,16.294128,17.162573,15.37316,1.0343463,0
5337882524811915520,0.759093781880145,12.304786,12.567975,11.882487,0.789194,0
5337883422502199040,0.725859853529156,19.374567,21.054337,18.108656,1.0327888,0
5337885896415818112,0.728709433219687,10.643674,10.750023,10.446321,0.8048594,0
5337885896415822592,0.824151769658409,15.966756,16.770176,15.08503,1.0424669,0
5337886480531300480,0.851154046058966,10.126357,10.195312,9.984013,0.7666185,0
5337888267237442688,0.789646676150216,14.726794,15.278045,14.025572,1.0197669,0
5337889126231023744,0.728070842780265,11.131582,11.305355,10.832676,0.7962087,2
5337890260102624768,0.794483867609893,13.241127,13.577823,12.7383,0.8926254,0
5337890638059585536,0.735961710075321,15.817885,16.56947,14.9498,1.2807161,0
5337890706779042944,0.790418728306229,14.550223,15.05599,13.895773,0.9911911,0
5337891290894750464,0.726548154893229,11.216072,11.380368,10.903316,0.82806575,0
5337891355267992704,0.737182062734569,13.535265,13.891743,12.988827,0.881134,0
5338521551573999872,0.712252047906229,15.765677,16.501833,14.916262,1.0206213,0
5338523711888399488,0.700275298095453,12.270121,12.549975,11.827824,1.7358115,3
5338574877892681216,0.703166537637195,14.989038,15.57201,14.241011,1.0439101,0
5338596146558739584,0.738167379734327,14.453334,14.93366,13.811453,0.92015404,0
5338601090018352640,0.719662897625799,17.937918,19.265673,16.793095,0.9447645,0
5338604392850921984,0.728133429580752,17.086533,17.839619,15.8568125,1.1366125,0
5338605870365437824,0.734326710314177,14.7994585,15.345194,14.1007595,0.9609164,0
5338611952039310976,0.77586888921425,17.329437,18.340778,16.162151,0.9925463,0
5338612329996620288,0.861332011131284,12.749434,13.048425,12.288834,0.9005383,0
