source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor
64094037476647040,14.9738245,16.259136,13.789281,2.4698553,1501.6946,185.41422,226.57959,1.47522
64131150292139648,13.846435,14.764159,12.827765,1.9363937,724.29266,200.96654,265.68823,1.387114
64453685154291968,17.73309,19.73681,16.390238,3.3465729,602.3141,19.59529,141.16321,1.5644954
64837242912474624,8.88526,9.04409,8.44839,0.59570026,3286.9387,112.460915,65.633354,1.2559718
64950625753906176,17.653503,19.939953,16.229519,3.710434,401.33405,16.408089,198.92892,1.6507344
64997187496822912,17.813745,19.713297,16.480227,3.2330704,719.259,15.0473,156.47375,1.5636194
65000417312240896,15.7003355,16.785028,14.390324,2.3947048,549.3148,47.80418,347.9407,1.6737974
65003612767943040,17.898127,20.17663,16.506802,3.6698284,697.75806,12.737105,130.00034,1.6050825
65042645428743680,17.786415,19.672274,16.176714,3.4955597,514.79785,14.137124,126.19825,1.9816064
65078929312363392,16.412167,16.980797,14.132764,2.848033,186.35286,26.443207,132.62029,3.8649137
65131121756446592,13.487999,14.278063,12.427227,1.8508358,462.88245,163.57394,132.74927,1.4685051
65162492198224768,17.780386,19.695827,16.452774,3.2430534,506.1167,9.360103,173.38959,1.5539857
65173620458875008,16.997486,18.30291,15.578316,2.724594,424.0291,23.58253,68.281906,1.7734559
65200283613608704,17.136478,19.1588,15.788345,3.3704548,967.21,19.186714,321.91473,1.5696189
65202383854448384,17.039532,18.557104,15.764448,2.792656,857.7913,25.929672,263.39044,1.5414543
65202418214188544,14.805443,16.206171,13.606966,2.599205,1112.6846,144.92755,599.0922,1.4690185
65206674525036672,17.452063,19.732012,16.096153,3.6358585,797.18286,10.694965,219.97542,1.5563064
65216363971331072,17.420778,19.251213,16.08192,3.1692924,729.88403,17.716822,156.83286,1.5789902
65223583812996864,17.106117,18.959896,15.698542,3.2613544,425.5556,25.740416,247.22182,1.6705205
65226092073881856,17.303078,18.825335,15.999248,2.826087,782.97943,16.106436,156.15807,1.5772314
65226401312036864,13.536427,14.3698225,12.522509,1.8473139,505.3243,190.48228,317.2969,1.4075723
65228772133391488,17.9169,19.907795,16.578157,3.3296375,717.94336,13.581271,137.99135,1.5603768
65230764996027776,8.228746,8.105177,7.6610856,0.44409132,1620.2859,141.97577,228.65414,1.522668
65241313435901568,14.320809,15.033832,12.844796,2.1890354,991.7952,24.367743,38.959854,2.0152054
65241313437941504,14.404743,15.336383,12.858709,2.4776735,687.6355,36.687504,15.704368,2.0558133
65244435877629824,17.847445,19.796124,16.505604,3.2905197,615.62537,15.870258,143.26791,1.5691022
65265674492422784,17.757893,19.69635,16.42879,3.267561,789.5989,19.671577,164.13525,1.553346
65266494828710400,14.178851,15.150766,13.054563,2.0962038,416.60278,67.71244,68.524704,1.4818503
65277975278721408,16.776691,18.134432,15.497537,2.6368952,892.0424,20.737024,131.75206,1.5750002
65280036863012864,17.349085,19.284576,15.969918,3.3146582,715.998,16.405642,146.70508,1.6212386
65282716920396160,15.445732,15.308132,13.828513,1.479619,215.32063,6.9479103,19.586533,2.690013
65283094877491200,17.706953,19.039753,16.373842,2.6659107,447.58435,8.3368225,101.887825,1.6494939
65283232316451328,3.863349,3.836872,3.8506403,-0.013768196,370.81442,166.70819,530.947,1.1690108
65298208867376384,17.7707,19.76046,16.4412,3.3192596,708.7066,14.677519,91.62358,1.548256
66451429065390080,16.797077,18.630234,15.453439,3.176795,596.6867,45.233997,443.3793,1.5850298
66453181412027392,17.699118,19.753994,16.344934,3.4090595,498.0507,18.773676,195.82988,1.5744348
66460225158376192,17.770643,19.853231,16.446558,3.4066734,906.8717,18.338089,193.70955,1.5316216
66642641008348416,16.535604,18.235193,15.230453,3.0047407,1293.2726,74.417305,182.12613,1.5520424
66714177981308800,17.279522,17.504105,15.850125,1.6539793,194.45729,8.702222,48.635933,2.1599615
66714418501518848,16.843014,17.596237,15.508355,2.087882,369.5069,7.463872,60.348232,1.8014396
66716136489019008,17.665154,19.374018,16.326809,3.0472088,590.28864,5.9878078,41.17288,1.5942285
66717987616472704,17.494467,19.410238,16.170437,3.2398014,680.4447,13.756044,174.28827,1.5492389
66728089380491648,17.542105,19.308191,16.23424,3.0739517,651.4257,19.428596,213.74922,1.5465411
66728089380492160,17.551449,19.537806,16.156221,3.3815842,428.94513,11.766209,143.78548,1.637999
66728265476081408,17.19236,19.43611,15.85624,3.5798693,699.6314,12.701254,292.39822,1.5328124
66729635568719872,17.617458,19.659708,16.203325,3.4563828,709.8494,15.210031,59.12513,1.6588875
66767843597097856,17.77927,19.776958,16.462059,3.3148994,582.7247,15.551711,168.34717,1.53129
66771764904729984,17.683437,19.51135,16.370293,3.141058,883.9307,15.229285,215.39545,1.5454919
66782931820393216,16.98477,18.275524,15.151375,3.1241493,576.67377,44.406628,346.62396,2.4989665
66797156751286912,16.827679,18.772224,15.437075,3.3351498,482.93457,19.21577,381.36673,1.6361041
66798526845337344,13.832768,14.5977125,12.832641,1.7650719,1106.9708,61.142185,160.97047,1.4159591
66801623514684416,14.265003,15.4526825,13.068843,2.3838396,628.7507,109.0014,110.03653,1.5095894
66828870789879168,16.177582,17.278618,14.304742,2.973876,409.52905,64.616196,224.4076,2.625428
66834054814431232,16.563644,18.453848,15.206267,3.2475805,466.61737,47.380962,342.9507,1.5966456
66894772769437952,17.874992,19.896244,16.55087,3.3453732,878.7706,15.980776,267.4598,1.53786
68283421593270400,17.57024,19.660284,16.245514,3.4147701,625.59186,18.867603,156.55637,1.5317352
68364544933829376,13.592579,14.215121,12.341842,1.8732796,680.50244,24.28633,13.7073345,1.7407526
68581694185489920,17.913898,20.051432,16.57297,3.4784622,479.02643,15.556808,139.47775,1.5486462
69806039039416832,17.622309,19.673035,16.268385,3.4046497,538.2375,13.195151,109.269066,1.5745032
69812945346809344,15.99179,17.340973,14.727977,2.612996,785.4113,10.315295,82.48228,1.557459
69912309413652864,17.451437,19.800999,16.06755,3.733448,668.6564,17.391657,203.46031,1.5890946
70091259227969920,17.84341,19.954927,16.52448,3.4304466,764.23047,14.289097,206.42332,1.5220706
