source_id,radial_velocity,radial_velocity_error,rv_nb_transits,rv_method_used
53029278307021696,nan,nan,nan,
63547270960574336,11.383182,3.3698506,13.0,1
64114245300877184,5.3180704,0.49237174,18.0,1
64160940185240064,nan,nan,nan,
51742471745296768,7.8481593,0.40216258,21.0,1
53258732639653760,nan,nan,nan,
63592767549850112,7.285138,0.29552448,10.0,1
63593798341985152,nan,nan,nan,
63824901943723392,nan,nan,nan,
53892669813156736,nan,nan,nan,
63485427727244544,nan,nan,nan,
63693785181958912,-12.909431,4.99508,13.0,2
64095656682494720,6.2060633,0.34099317,32.0,1
53332571717238400,nan,nan,nan,
53341642688604416,nan,nan,nan,
63632178171114624,nan,nan,nan,
64016904160440960,4.7394066,8.3276615,13.0,2
64172038380708224,6.902026,0.44327545,16.0,1
64174546641593984,nan,nan,nan,
64653383953596032,nan,nan,nan,
51619120284286976,-5.815813,4.7268505,21.0,1
53014881576687872,nan,nan,nan,
58259414601023744,nan,nan,nan,
63052048347383168,10.05385,0.85279405,12.0,1
63391178965446656,nan,nan,nan,
51303388648134400,nan,nan,nan,
51616268426009472,15.415862,7.2106056,23.0,2
63102694601689728,4.806507,3.5590057,13.0,2
63449521800719488,nan,nan,nan,
63892006512622848,nan,nan,nan,
63958801843006208,-5.735798,7.492136,16.0,1
64259518272776576,nan,nan,nan,
50976077779666688,5.0138965,1.2754658,18.0,1
51492264130122496,nan,nan,nan,
63436396380626688,27.172289,10.666672,9.0,2
63773774653147904,nan,nan,nan,
63795455648004608,22.480234,4.876284,26.0,2
63838886357191936,-19.48307,7.584463,27.0,2
63839023796354560,nan,nan,nan,
53140397701490176,nan,nan,nan,
53335045618385536,-2.392665,3.840645,15.0,2
63786625195137664,nan,nan,nan,
63959351598814336,nan,nan,nan,
64109915973846528,nan,nan,nan,
64157023175179776,nan,nan,nan,
64313222543810560,nan,nan,nan,
50907014706346624,nan,nan,nan,
63144716561596288,6.60836,0.3123775,12.0,1
63289920816208768,8.332064,0.6449328,15.0,1
63661521387693824,nan,nan,nan,
63705433133130368,nan,nan,nan,
63884584809145600,-7.8370314,6.703168,20.0,2
63916431989200256,7.1419425,0.78666633,15.0,1
64117062799542016,nan,nan,nan,
64168705486089216,nan,nan,nan,
51391658816356608,nan,nan,nan,
51681655008229632,9.057142,7.965017,17.0,2
53864804065393536,nan,nan,nan,
63502259702709888,1.567685,0.7360156,14.0,1
63662311661690880,nan,nan,nan,
63953819680971008,nan,nan,nan,
63547378335443200,6.4287906,1.2627181,17.0,1
63585036608738048,nan,nan,nan,
63627264728628224,nan,nan,nan,
63677326867342464,nan,nan,nan,
63826448131945984,nan,nan,nan,
51408529447927296,nan,nan,nan,
63730309584280960,7.267347,0.36202735,32.0,1
63775355201110016,-4.124922,6.5125217,23.0,2
63826070174824192,nan,nan,nan,
63999999169130112,nan,nan,nan,
64009448097245440,55.50205,4.7808776,14.0,2
64743646986745600,18.575161,4.9388914,13.0,1
64757425241820800,-10.781087,8.958195,15.0,2
64856312568645248,7.053675,2.302344,9.0,2
64889126119831040,nan,nan,nan,
64923279699744256,5.032039,0.6312849,12.0,1
64962174923490304,nan,nan,nan,
64963377514329984,nan,nan,nan,
64980832261312640,nan,nan,nan,
65005262035285888,-5.860977,8.134053,11.0,2
65007083101413888,4.437983,1.5222514,9.0,1
65026839950559744,4.145413,3.913154,13.0,2
65086591535491584,6.507856,0.39882386,14.0,1
65089473457126784,5.435533,1.9016896,14.0,2
65101606741121792,nan,nan,nan,
65181115176348544,nan,nan,nan,
65213172812266752,nan,nan,nan,
65225469302220800,nan,nan,nan,
65293368441513344,nan,nan,nan,
65561473183104640,nan,nan,nan,
