run_id,n_systems,binary_system_fraction,n_stars,n_binaries,profile,mcluster_S,half_mass_radius_pc,imf_alpha_low,imf_alpha_high,seed,galactic_tide,priority,status
mb_train_0000_s40001,1513,0.8722,2833,1320,2,0.2569,4.1641,0.9508,1.2120,40001,true,1,ready
mb_train_0000_s90002,1513,0.8722,2833,1320,2,0.2569,4.1641,0.9508,1.2120,90002,true,1,ready
mb_train_0000_s90003,1513,0.8722,2833,1320,2,0.2569,4.1641,0.9508,1.2120,90003,true,1,ready
mb_train_0000_s90004,1513,0.8722,2833,1320,2,0.2569,4.1641,0.9508,1.2120,90004,true,1,ready
mb_train_0000_s90005,1513,0.8722,2833,1320,2,0.2569,4.1641,0.9508,1.2120,90005,true,1,ready
mb_train_0001_s40002,1661,0.4673,2437,776,2,0.1804,3.6217,1.0842,2.4238,40002,true,1,ready
mb_train_0002_s40003,1202,0.8976,2281,1079,2,0.3988,4.4698,1.9250,3.2441,40003,true,1,ready
mb_train_0003_s40004,1424,0.9072,2716,1292,2,0.3424,3.5655,1.3973,1.4141,40004,true,1,ready
mb_train_0004_s40005,1235,0.7892,2210,975,2,0.3077,3.8433,1.7302,3.4201,40005,true,1,ready
mb_train_0005_s40006,1338,0.5096,2020,682,2,0.0347,4.1592,0.5417,2.7226,40006,true,1,ready
mb_train_0006_s40007,1692,0.9394,3281,1589,2,0.3444,4.0645,1.5206,3.3654,40007,true,1,ready
mb_train_0007_s40008,1546,0.7719,2739,1193,2,0.4630,4.0741,1.4060,2.5874,40008,true,1,ready
mb_train_0008_s40009,1511,0.4397,2175,664,2,0.4445,3.1171,1.2430,1.8782,40009,true,1,ready
mb_train_0009_s40010,1600,0.3780,2205,605,2,0.3287,2.9795,1.1611,2.1085,40010,true,1,ready
mb_train_0010_s40011,1556,0.8584,2892,1336,2,0.4984,3.2832,0.9791,2.4831,40011,true,1,ready
mb_train_0011_s40012,1651,0.3104,2163,512,2,0.3885,2.7332,1.1207,1.1774,40012,true,1,ready
mb_train_0012_s40013,1595,0.4197,2264,669,2,0.1563,2.6244,1.9939,1.9985,40013,true,1,ready
mb_train_0013_s40014,1612,0.3997,2256,644,2,0.1233,4.3972,1.7672,3.2248,40014,true,1,ready
mb_train_0014_s40015,1591,0.4346,2282,691,2,0.1357,3.7804,0.6424,1.0702,40015,true,1,ready
mb_train_0015_s40016,1633,0.8700,3054,1421,2,0.3101,2.4836,1.9717,3.0484,40016,true,1,ready
mb_train_0016_s40017,1472,0.9019,2800,1328,2,0.2809,2.6996,0.8853,2.1202,40017,true,1,ready
mb_train_0017_s40018,1625,0.3608,2211,586,2,0.4686,2.8397,0.7770,1.7406,40018,true,1,ready
mb_train_0018_s40019,1375,0.6612,2284,909,2,0.0749,2.4056,0.8200,3.0647,40019,true,1,ready
mb_train_0018_s90182,1375,0.6612,2284,909,2,0.0749,2.4056,0.8200,3.0647,90182,true,1,ready
mb_train_0018_s90183,1375,0.6612,2284,909,2,0.0749,2.4056,0.8200,3.0647,90183,true,1,ready
mb_train_0018_s90184,1375,0.6612,2284,909,2,0.0749,2.4056,0.8200,3.0647,90184,true,1,ready
mb_train_0018_s90185,1375,0.6612,2284,909,2,0.0749,2.4056,0.8200,3.0647,90185,true,1,ready
mb_train_0019_s40020,1529,0.7480,2673,1144,2,0.4727,3.3847,0.4371,3.4125,40020,true,1,ready
mb_train_0020_s40021,1468,0.3058,1917,449,2,0.1193,2.4550,0.7093,3.4587,40021,true,1,ready
mb_train_0021_s40022,1572,0.4835,2332,760,2,0.2688,3.4299,1.1753,1.5901,40022,true,1,ready
mb_train_0022_s40023,1261,0.3757,1735,474,2,0.2424,3.7229,1.7772,2.0630,40023,true,1,ready
mb_train_0023_s40024,1514,0.6679,2525,1011,2,0.3612,4.3439,1.7220,3.4353,40024,true,1,ready
mb_train_0024_s40025,1402,0.3468,1888,486,2,0.0964,4.2013,0.3448,1.6508,40025,true,1,ready
mb_train_0025_s40026,1642,0.9084,3134,1492,2,0.2193,4.0407,0.7304,3.3570,40026,true,1,ready
mb_train_0026_s40027,1403,0.8298,2567,1164,2,0.3791,3.0651,0.5154,1.6311,40027,true,1,ready
mb_train_0027_s40028,1405,0.3178,1852,447,2,0.4187,4.2151,1.3674,2.0096,40028,true,1,ready
mb_train_0028_s40029,1218,0.6732,2038,820,2,0.0582,3.8709,1.2210,2.1624,40029,true,1,ready
mb_train_0029_s40030,1664,0.4503,2413,749,2,0.0759,3.6806,1.5880,3.3267,40030,true,1,ready
mb_train_0030_s40031,1646,0.5017,2472,826,2,0.4197,3.9676,1.3307,1.0609,40031,true,1,ready
mb_train_0031_s40032,1383,0.9001,2628,1245,2,0.4409,3.2312,0.9267,1.8305,40032,true,1,ready
mb_train_0032_s40033,1209,0.5461,1869,660,2,0.3967,3.4949,1.2244,1.3262,40033,true,1,ready
mb_train_0033_s40034,1667,0.8339,3057,1390,2,0.2316,3.7612,1.2338,2.2462,40034,true,1,ready
mb_train_0034_s40035,1500,0.8718,2808,1308,2,0.3662,2.4689,1.8488,1.4351,40035,true,1,ready
mb_train_0035_s40036,1393,0.8004,2508,1115,2,0.0991,3.3070,1.1985,2.5331,40036,true,1,ready
mb_train_0036_s40037,1507,0.4729,2220,713,2,0.2497,3.0835,0.3753,2.1282,40037,true,1,ready
mb_train_0036_s90362,1507,0.4729,2220,713,2,0.2497,3.0835,0.3753,2.1282,90362,true,1,ready
mb_train_0036_s90363,1507,0.4729,2220,713,2,0.2497,3.0835,0.3753,2.1282,90363,true,1,ready
mb_train_0036_s90364,1507,0.4729,2220,713,2,0.2497,3.0835,0.3753,2.1282,90364,true,1,ready
mb_train_0036_s90365,1507,0.4729,2220,713,2,0.2497,3.0835,0.3753,2.1282,90365,true,1,ready
mb_train_0037_s40038,1282,0.7575,2253,971,2,0.4931,3.9146,1.7910,2.1659,40038,true,1,ready
mb_train_0038_s40039,1255,0.7789,2233,978,2,0.3934,4.3791,0.8172,1.3718,40039,true,1,ready
mb_train_0039_s40040,1451,0.5330,2224,773,2,0.4701,2.6341,0.9613,1.0378,40040,true,1,ready
mb_train_0040_s40041,1655,0.8393,3044,1389,2,0.2278,4.2369,1.8045,2.7309,40041,true,1,ready
mb_train_0041_s40042,1604,0.7461,2801,1197,2,0.4590,3.3011,0.5438,2.5986,40042,true,1,ready
mb_train_0042_s40043,1615,0.3023,2103,488,2,0.2511,3.6056,1.2907,1.7644,40043,true,1,ready
mb_train_0043_s40044,1462,0.7155,2508,1046,2,0.4530,3.6594,0.8925,2.5077,40044,true,1,ready
mb_train_0044_s40045,1275,0.5262,1946,671,2,0.2242,3.4609,1.2643,3.0418,40045,true,1,ready
mb_train_0045_s40046,1230,0.9282,2372,1142,2,0.4469,3.3575,0.9587,1.4742,40046,true,1,ready
mb_train_0046_s40047,1477,0.8471,2728,1251,2,0.2638,3.8762,1.5101,3.0918,40047,true,1,ready
mb_train_0047_s40048,1262,0.9171,2419,1157,2,0.0487,3.1478,1.0950,1.4840,40048,true,1,ready
mb_train_0048_s40049,1653,0.4274,2359,706,2,0.2680,2.5091,0.7648,2.6650,40049,true,1,ready
mb_train_0049_s40050,1397,0.5495,2165,768,2,0.2606,2.9428,1.0147,2.6974,40050,true,1,ready
mb_train_0050_s40051,1490,0.8066,2692,1202,2,0.0604,3.4553,0.9401,2.8814,40051,true,1,ready
mb_train_0051_s40052,1649,0.3961,2302,653,2,0.4665,4.2783,1.1078,3.0845,40052,true,1,ready
mb_train_0052_s40053,1291,0.3122,1694,403,2,0.3605,3.8948,1.9220,1.7793,40053,true,1,ready
mb_train_0053_s40054,1211,0.7363,2103,892,2,0.0658,2.9713,1.6693,2.5491,40054,true,1,ready
mb_train_0054_s40055,1385,0.7907,2480,1095,2,0.3529,2.9686,0.5672,1.1499,40055,true,1,ready
mb_train_0055_s40056,1563,0.4063,2198,635,2,0.2008,4.4606,1.4521,3.1394,40056,true,1,ready
mb_train_0055_s90552,1563,0.4063,2198,635,2,0.2008,4.4606,1.4521,3.1394,90552,true,1,ready
mb_train_0055_s90553,1563,0.4063,2198,635,2,0.2008,4.4606,1.4521,3.1394,90553,true,1,ready
mb_train_0055_s90554,1563,0.4063,2198,635,2,0.2008,4.4606,1.4521,3.1394,90554,true,1,ready
mb_train_0055_s90555,1563,0.4063,2198,635,2,0.2008,4.4606,1.4521,3.1394,90555,true,1,ready
mb_train_0056_s40057,1365,0.3870,1893,528,2,0.4386,2.8676,1.7603,1.1321,40057,true,1,ready
mb_train_0057_s40058,1536,0.9200,2949,1413,2,0.1379,3.1532,1.5625,1.6866,40058,true,1,ready
mb_train_0058_s40059,1344,0.3188,1772,428,2,0.0408,3.5081,1.2971,3.2955,40059,true,1,ready
mb_train_0059_s40060,1664,0.8435,3068,1404,2,0.0712,2.7177,0.4061,1.2618,40060,true,1,ready
mb_train_0060_s40061,1459,0.7048,2487,1028,2,0.4087,4.2956,1.4475,2.6058,40061,true,1,ready
mb_train_0061_s40062,1229,0.8379,2259,1030,2,0.3814,2.8031,0.5575,2.6580,40062,true,1,ready
mb_train_0062_s40063,1422,0.6135,2294,872,2,0.3664,3.0661,1.8732,2.6378,40063,true,1,ready
mb_train_0063_s40064,1432,0.4948,2141,709,2,0.2715,2.4101,1.2850,2.2887,40064,true,1,ready
mb_train_0064_s40065,1350,0.4773,1994,644,2,0.2363,2.8472,0.6189,2.6245,40065,true,1,ready
mb_train_0065_s40066,1425,0.4882,2121,696,2,0.4433,3.0975,1.3575,1.0307,40066,true,1,ready
mb_train_0066_s40067,1334,0.6833,2246,912,2,0.4047,3.9612,1.8277,2.9384,40067,true,1,ready
mb_train_0067_s40068,1211,0.3978,1693,482,2,0.3119,3.8219,0.3386,2.4012,40068,true,1,ready
mb_train_0068_s40069,1553,0.3090,2033,480,2,0.4876,2.6602,1.6046,3.2123,40069,true,1,ready
mb_train_0069_s40070,1580,0.9446,3072,1492,2,0.1163,4.0126,1.3060,3.3152,40070,true,1,ready
mb_train_0070_s40071,1532,0.6757,2567,1035,2,0.4346,3.9367,0.3619,2.1743,40071,true,1,ready
mb_train_0071_s40072,1660,0.6805,2790,1130,2,0.1659,3.8657,1.7386,2.3263,40072,true,1,ready
mb_train_0072_s40073,1453,0.9488,2832,1379,2,0.2394,3.6528,1.3812,1.3444,40073,true,1,ready
mb_train_0073_s40074,1419,0.3825,1962,543,2,0.2449,2.7859,1.5753,1.2536,40074,true,1,ready
mb_train_0073_s90732,1419,0.3825,1962,543,2,0.2449,2.7859,1.5753,1.2536,90732,true,1,ready
mb_train_0073_s90733,1419,0.3825,1962,543,2,0.2449,2.7859,1.5753,1.2536,90733,true,1,ready
mb_train_0073_s90734,1419,0.3825,1962,543,2,0.2449,2.7859,1.5753,1.2536,90734,true,1,ready
mb_train_0073_s90735,1419,0.3825,1962,543,2,0.2449,2.7859,1.5753,1.2536,90735,true,1,ready
mb_train_0074_s40075,1493,0.8087,2700,1207,2,0.1928,4.3890,1.9422,1.6187,40075,true,1,ready
mb_train_0075_s40076,1207,0.8153,2191,984,2,0.1137,2.6909,1.2697,3.3938,40076,true,1,ready
mb_train_0076_s40077,1434,0.5647,2244,810,2,0.1018,2.7751,0.6311,3.3408,40077,true,1,ready
mb_train_0077_s40078,1475,0.7441,2573,1098,2,0.2559,2.5960,1.5085,1.5148,40078,true,1,ready
mb_train_0078_s40079,1414,0.4982,2118,704,2,0.3061,3.0106,1.0107,1.4196,40079,true,1,ready
mb_train_0079_s40080,1200,0.5529,1863,663,2,0.3249,2.9982,0.6784,1.3137,40080,true,1,ready
mb_train_0080_s40081,1380,0.4845,2049,669,2,0.1323,2.6809,0.8279,2.5669,40081,true,1,ready
mb_train_0081_s40082,1566,0.3836,2167,601,2,0.0388,4.1012,1.7023,1.5582,40082,true,1,ready
mb_train_0082_s40083,1637,0.7019,2786,1149,2,0.2306,2.9553,0.7708,2.1398,40083,true,1,ready
mb_train_0083_s40084,1546,0.7131,2648,1102,2,0.1101,4.4732,0.5886,2.8714,40084,true,1,ready
mb_train_0084_s40085,1215,0.3511,1642,427,2,0.0337,4.1461,1.1433,2.7658,40085,true,1,ready
mb_train_0085_s40086,1581,0.6012,2531,950,2,0.0976,3.4196,0.5355,1.7301,40086,true,1,ready
