sample,geometry,radius_inner_pc,radius_pc,projection,alpha,alpha_err,n
initial_global_birth_mass,global,0.0,inf,none,2.2150000000000003,0.119,253
final_survivors_birth_mass,global,0.0,inf,none,2.2150000000000003,0.119,253
final_survivors_current_mass,global,0.0,inf,none,2.056,0.11099999999999999,271
final_current_mass_3d,sphere,0.0,2.0,none,nan,nan,2
final_current_mass_projected,cylinder,0.0,2.0,p000,2.3120000000000003,0.5415000000000001,13
final_current_mass_projected,cylinder,0.0,2.0,p001,2.289,0.6145,10
final_current_mass_projected,cylinder,0.0,2.0,p002,1.473,0.5070000000000001,11
final_current_mass_projected,cylinder,0.0,2.0,p003,nan,nan,7
final_current_mass_projected,cylinder,0.0,2.0,p004,2.394,0.49750000000000016,16
final_current_mass_projected,cylinder,0.0,2.0,p005,nan,nan,8
final_current_mass_projected,cylinder,0.0,2.0,p006,2.1430000000000002,0.5205000000000001,13
final_current_mass_projected,cylinder,0.0,2.0,p007,2.398,0.6309999999999999,10
final_current_mass_projected,cylinder,0.0,2.0,p008,nan,nan,7
final_current_mass_projected,cylinder,0.0,2.0,p009,2.0100000000000002,0.4294999999999999,18
final_current_mass_projected,cylinder,0.0,2.0,p010,1.7480000000000002,0.5030000000000001,12
final_current_mass_projected,cylinder,0.0,2.0,p011,2.1750000000000003,0.5245000000000001,13
final_current_mass_projected,cylinder,0.0,2.0,p012,2.2750000000000004,0.48350000000000004,16
final_current_mass_projected,cylinder,0.0,2.0,p013,nan,nan,9
final_current_mass_projected,cylinder,0.0,2.0,p014,2.5500000000000003,0.6560000000000001,10
final_current_mass_projected,cylinder,0.0,2.0,p015,3.116,0.7004999999999999,12
final_current_mass_projected,cylinder,0.0,2.0,p016,2.431,0.5185,15
final_current_mass_projected,cylinder,0.0,2.0,p017,2.09,0.5145000000000001,13
final_current_mass_projected,cylinder,0.0,2.0,p018,2.5500000000000003,0.625,11
final_current_mass_projected,cylinder,0.0,2.0,p019,3.422,0.7344999999999995,13
final_current_mass_projected,cylinder,0.0,2.0,p020,1.7930000000000001,0.5555,10
final_current_mass_projected,cylinder,0.0,2.0,p021,2.089,0.479,15
final_current_mass_projected,cylinder,0.0,2.0,p022,1.334,0.5255000000000001,10
final_current_mass_projected,cylinder,0.0,2.0,p023,1.997,0.549,11
final_current_mass_projected,cylinder,0.0,2.0,p024,2.6220000000000003,0.5855000000000001,13
final_current_mass_projected,cylinder,0.0,2.0,p025,nan,nan,6
final_current_mass_projected,cylinder,0.0,2.0,p026,1.6860000000000002,0.4179999999999999,17
final_current_mass_projected,cylinder,0.0,2.0,p027,1.7590000000000001,0.48350000000000015,13
final_current_mass_projected,cylinder,0.0,2.0,p028,2.6260000000000003,0.6375000000000002,11
final_current_mass_projected,cylinder,0.0,2.0,p029,1.7770000000000001,0.42400000000000004,17
final_current_mass_projected,cylinder,0.0,2.0,p030,1.1480000000000001,0.496,11
final_current_mass_projected,cylinder,0.0,2.0,p031,1.82,0.5320000000000001,11
final_current_mass_3d,sphere,0.0,4.0,none,1.874,0.37849999999999995,22
final_current_mass_projected,cylinder,0.0,4.0,p000,2.196,0.27849999999999997,46
final_current_mass_projected,cylinder,0.0,4.0,p001,1.9620000000000002,0.26850000000000007,45
final_current_mass_projected,cylinder,0.0,4.0,p002,1.683,0.2715000000000001,40
final_current_mass_projected,cylinder,0.0,4.0,p003,1.814,0.274,41
final_current_mass_projected,cylinder,0.0,4.0,p004,2.216,0.2865000000000001,44
final_current_mass_projected,cylinder,0.0,4.0,p005,1.7690000000000001,0.26849999999999985,42
