sample,geometry,radius_inner_pc,radius_pc,projection,alpha,alpha_err,n
initial_global_birth_mass,global,0.0,inf,none,2.076,0.10799999999999998,288
final_survivors_birth_mass,global,0.0,inf,none,2.076,0.10799999999999998,288
final_survivors_current_mass,global,0.0,inf,none,1.909,0.10000000000000009,316
final_current_mass_3d,sphere,0.0,2.0,none,nan,nan,6
final_current_mass_projected,cylinder,0.0,2.0,p000,1.596,0.39,19
final_current_mass_projected,cylinder,0.0,2.0,p001,0.854,0.5200000000000001,10
final_current_mass_projected,cylinder,0.0,2.0,p002,1.7650000000000001,0.38049999999999995,21
final_current_mass_projected,cylinder,0.0,2.0,p003,1.679,0.3949999999999999,19
final_current_mass_projected,cylinder,0.0,2.0,p004,1.116,0.3665000000000001,20
final_current_mass_projected,cylinder,0.0,2.0,p005,1.439,0.41800000000000004,16
final_current_mass_projected,cylinder,0.0,2.0,p006,2.173,0.3929999999999999,23
final_current_mass_projected,cylinder,0.0,2.0,p007,1.618,0.35550000000000004,23
final_current_mass_projected,cylinder,0.0,2.0,p008,1.7280000000000002,0.48150000000000004,13
final_current_mass_projected,cylinder,0.0,2.0,p009,0.899,0.4095000000000001,16
final_current_mass_projected,cylinder,0.0,2.0,p010,1.356,0.42850000000000005,15
final_current_mass_projected,cylinder,0.0,2.0,p011,1.457,0.4325,15
final_current_mass_projected,cylinder,0.0,2.0,p012,1.4820000000000002,0.3580000000000001,22
final_current_mass_projected,cylinder,0.0,2.0,p013,1.6070000000000002,0.4264999999999999,16
final_current_mass_projected,cylinder,0.0,2.0,p014,1.3230000000000002,0.39050000000000007,18
final_current_mass_projected,cylinder,0.0,2.0,p015,1.57,0.4115,17
final_current_mass_projected,cylinder,0.0,2.0,p016,1.4620000000000002,0.43299999999999994,15
final_current_mass_projected,cylinder,0.0,2.0,p017,1.1260000000000001,0.36600000000000005,20
final_current_mass_projected,cylinder,0.0,2.0,p018,nan,nan,9
final_current_mass_projected,cylinder,0.0,2.0,p019,1.3330000000000002,0.3615000000000001,21
final_current_mass_projected,cylinder,0.0,2.0,p020,1.7630000000000001,0.4225000000000001,17
