sample,geometry,radius_inner_pc,radius_pc,projection,alpha,alpha_err,n
initial_global_birth_mass,global,0.0,inf,none,2.1180000000000003,0.1100000000000001,284
final_survivors_birth_mass,global,0.0,inf,none,2.1180000000000003,0.1100000000000001,284
final_survivors_current_mass,global,0.0,inf,none,1.931,0.10049999999999992,313
final_current_mass_3d,sphere,0.0,2.0,none,1.647,0.30700000000000005,31
final_current_mass_projected,cylinder,0.0,2.0,p000,1.8590000000000002,0.22599999999999998,61
final_current_mass_projected,cylinder,0.0,2.0,p001,1.715,0.22250000000000003,60
final_current_mass_projected,cylinder,0.0,2.0,p002,1.719,0.23049999999999993,56
final_current_mass_projected,cylinder,0.0,2.0,p003,1.7480000000000002,0.21700000000000008,64
final_current_mass_projected,cylinder,0.0,2.0,p004,1.715,0.22450000000000003,59
final_current_mass_projected,cylinder,0.0,2.0,p005,1.7100000000000002,0.22799999999999998,57
final_current_mass_projected,cylinder,0.0,2.0,p006,1.689,0.21999999999999997,61
final_current_mass_projected,cylinder,0.0,2.0,p007,1.723,0.22899999999999998,57
final_current_mass_projected,cylinder,0.0,2.0,p008,1.645,0.22999999999999998,55
final_current_mass_projected,cylinder,0.0,2.0,p009,1.5430000000000001,0.22299999999999998,57
final_current_mass_projected,cylinder,0.0,2.0,p010,1.711,0.22799999999999998,57
final_current_mass_projected,cylinder,0.0,2.0,p011,1.9380000000000002,0.22049999999999992,66
final_current_mass_projected,cylinder,0.0,2.0,p012,1.78,0.22499999999999998,60
final_current_mass_projected,cylinder,0.0,2.0,p013,1.9000000000000001,0.2420000000000001,54
final_current_mass_projected,cylinder,0.0,2.0,p014,1.5350000000000001,0.21399999999999997,62
final_current_mass_projected,cylinder,0.0,2.0,p015,1.6740000000000002,0.22499999999999998,58
final_current_mass_projected,cylinder,0.0,2.0,p016,1.8110000000000002,0.23199999999999987,57
final_current_mass_projected,cylinder,0.0,2.0,p017,1.6580000000000001,0.22850000000000004,56
final_current_mass_projected,cylinder,0.0,2.0,p018,1.653,0.21699999999999997,62
final_current_mass_projected,cylinder,0.0,2.0,p019,1.713,0.21899999999999997,62
final_current_mass_projected,cylinder,0.0,2.0,p020,1.8890000000000002,0.22750000000000004,61
final_current_mass_projected,cylinder,0.0,2.0,p021,1.721,0.22699999999999998,58
final_current_mass_projected,cylinder,0.0,2.0,p022,1.9320000000000002,0.244,54
final_current_mass_projected,cylinder,0.0,2.0,p023,1.665,0.21750000000000003,62
final_current_mass_projected,cylinder,0.0,2.0,p024,1.707,0.22050000000000003,61
final_current_mass_projected,cylinder,0.0,2.0,p025,1.6070000000000002,0.22299999999999998,58
final_current_mass_projected,cylinder,0.0,2.0,p026,1.522,0.21550000000000002,61
final_current_mass_projected,cylinder,0.0,2.0,p027,1.7600000000000002,0.2280000000000001,58
final_current_mass_projected,cylinder,0.0,2.0,p028,1.7460000000000002,0.23350000000000004,55
final_current_mass_projected,cylinder,0.0,2.0,p029,1.693,0.22949999999999993,56
final_current_mass_projected,cylinder,0.0,2.0,p030,1.7770000000000001,0.235,55
final_current_mass_projected,cylinder,0.0,2.0,p031,1.6300000000000001,0.2320000000000001,54
final_current_mass_3d,sphere,0.0,4.0,none,1.574,0.16800000000000004,101
final_current_mass_projected,cylinder,0.0,4.0,p000,1.6720000000000002,0.14549999999999996,139
final_current_mass_projected,cylinder,0.0,4.0,p001,1.7040000000000002,0.14500000000000002,141
final_current_mass_projected,cylinder,0.0,4.0,p002,1.8190000000000002,0.14600000000000002,143
final_current_mass_projected,cylinder,0.0,4.0,p003,1.715,0.14649999999999996,138
final_current_mass_projected,cylinder,0.0,4.0,p004,1.739,0.14650000000000007,140
final_current_mass_projected,cylinder,0.0,4.0,p005,1.842,0.14749999999999996,142
final_current_mass_projected,cylinder,0.0,4.0,p006,1.7510000000000001,0.14400000000000002,144
final_current_mass_projected,cylinder,0.0,4.0,p007,1.6900000000000002,0.14300000000000002,144
final_current_mass_projected,cylinder,0.0,4.0,p008,1.7620000000000002,0.1499999999999999,134
final_current_mass_projected,cylinder,0.0,4.0,p009,1.7730000000000001,0.14849999999999997,137
final_current_mass_projected,cylinder,0.0,4.0,p010,1.7460000000000002,0.14549999999999996,141
final_current_mass_projected,cylinder,0.0,4.0,p011,1.6800000000000002,0.14050000000000007,149
final_current_mass_projected,cylinder,0.0,4.0,p012,1.7100000000000002,0.14600000000000002,138
final_current_mass_projected,cylinder,0.0,4.0,p013,1.6780000000000002,0.14749999999999996,135
final_current_mass_projected,cylinder,0.0,4.0,p014,1.723,0.14050000000000007,150
final_current_mass_projected,cylinder,0.0,4.0,p015,1.703,0.14400000000000002,142
final_current_mass_projected,cylinder,0.0,4.0,p016,1.7000000000000002,0.14849999999999997,134
final_current_mass_projected,cylinder,0.0,4.0,p017,1.643,0.14649999999999996,136
final_current_mass_projected,cylinder,0.0,4.0,p018,1.675,0.14250000000000007,145
final_current_mass_projected,cylinder,0.0,4.0,p019,1.701,0.14550000000000007,140
final_current_mass_projected,cylinder,0.0,4.0,p020,1.6920000000000002,0.14450000000000007,141
final_current_mass_projected,cylinder,0.0,4.0,p021,1.683,0.14650000000000007,137
final_current_mass_projected,cylinder,0.0,4.0,p022,1.645,0.14700000000000002,134
final_current_mass_projected,cylinder,0.0,4.0,p023,1.739,0.14300000000000002,146
final_current_mass_projected,cylinder,0.0,4.0,p024,1.6520000000000001,0.14250000000000007,143
final_current_mass_projected,cylinder,0.0,4.0,p025,1.7610000000000001,0.14849999999999997,136
final_current_mass_projected,cylinder,0.0,4.0,p026,1.729,0.14749999999999996,137
final_current_mass_projected,cylinder,0.0,4.0,p027,1.802,0.14449999999999996,146
final_current_mass_projected,cylinder,0.0,4.0,p028,1.655,0.14400000000000002,140
final_current_mass_projected,cylinder,0.0,4.0,p029,1.7460000000000002,0.14749999999999996,137
final_current_mass_projected,cylinder,0.0,4.0,p030,1.786,0.14850000000000008,137
final_current_mass_projected,cylinder,0.0,4.0,p031,1.7540000000000002,0.14549999999999996,141
final_current_mass_3d,sphere,0.0,8.0,none,1.951,0.128,196
final_current_mass_projected,cylinder,0.0,8.0,p000,1.9800000000000002,0.11999999999999988,225
final_current_mass_projected,cylinder,0.0,8.0,p001,1.963,0.12099999999999989,222
