sample,geometry,radius_inner_pc,radius_pc,projection,alpha,alpha_err,n
initial_global_birth_mass,global,0.0,inf,none,2.019,0.11050000000000015,269
final_survivors_birth_mass,global,0.0,inf,none,2.019,0.11050000000000015,269
final_survivors_current_mass,global,0.0,inf,none,1.8890000000000002,0.10350000000000004,291
final_current_mass_3d,sphere,0.0,2.0,none,nan,nan,4
final_current_mass_projected,cylinder,0.0,2.0,p000,1.6230000000000002,0.5154999999999998,11
final_current_mass_projected,cylinder,0.0,2.0,p001,1.2570000000000001,0.5225000000000001,10
final_current_mass_projected,cylinder,0.0,2.0,p002,1.346,0.5260000000000001,10
final_current_mass_projected,cylinder,0.0,2.0,p003,nan,nan,9
final_current_mass_projected,cylinder,0.0,2.0,p004,1.324,0.5,11
final_current_mass_projected,cylinder,0.0,2.0,p005,0.923,0.49450000000000005,11
final_current_mass_projected,cylinder,0.0,2.0,p006,1.439,0.5050000000000001,11
final_current_mass_projected,cylinder,0.0,2.0,p007,nan,nan,6
final_current_mass_projected,cylinder,0.0,2.0,p008,1.499,0.40800000000000003,17
final_current_mass_projected,cylinder,0.0,2.0,p009,1.4480000000000002,0.4645000000000001,13
final_current_mass_projected,cylinder,0.0,2.0,p010,nan,nan,8
final_current_mass_projected,cylinder,0.0,2.0,p011,nan,nan,9
final_current_mass_projected,cylinder,0.0,2.0,p012,nan,nan,9
final_current_mass_projected,cylinder,0.0,2.0,p013,1.788,0.5285000000000001,11
final_current_mass_projected,cylinder,0.0,2.0,p014,nan,nan,8
final_current_mass_projected,cylinder,0.0,2.0,p015,1.3590000000000002,0.4610000000000001,13
final_current_mass_projected,cylinder,0.0,2.0,p016,1.7730000000000001,0.485,13
final_current_mass_projected,cylinder,0.0,2.0,p017,1.7300000000000002,0.46399999999999997,14
final_current_mass_projected,cylinder,0.0,2.0,p018,0.765,0.522,10
final_current_mass_projected,cylinder,0.0,2.0,p019,1.37,0.403,17
final_current_mass_projected,cylinder,0.0,2.0,p020,1.586,0.42500000000000004,16
final_current_mass_projected,cylinder,0.0,2.0,p021,2.011,0.4554999999999999,16
final_current_mass_projected,cylinder,0.0,2.0,p022,1.661,0.5440000000000002,10
final_current_mass_projected,cylinder,0.0,2.0,p023,1.2990000000000002,0.4425000000000001,14
final_current_mass_projected,cylinder,0.0,2.0,p024,1.4200000000000002,0.529,10
final_current_mass_projected,cylinder,0.0,2.0,p025,1.7100000000000002,0.397,19
final_current_mass_projected,cylinder,0.0,2.0,p026,1.4480000000000002,0.4645000000000001,13
final_current_mass_projected,cylinder,0.0,2.0,p027,0.655,0.526,10
final_current_mass_projected,cylinder,0.0,2.0,p028,1.516,0.4680000000000001,13
final_current_mass_projected,cylinder,0.0,2.0,p029,nan,nan,9
final_current_mass_projected,cylinder,0.0,2.0,p030,nan,nan,8
final_current_mass_projected,cylinder,0.0,2.0,p031,nan,nan,8
final_current_mass_3d,sphere,0.0,4.0,none,1.679,0.45999999999999996,14
final_current_mass_projected,cylinder,0.0,4.0,p000,1.818,0.3264999999999999,29
final_current_mass_projected,cylinder,0.0,4.0,p001,1.9280000000000002,0.2865000000000001,39
final_current_mass_projected,cylinder,0.0,4.0,p002,1.465,0.32199999999999995,27
final_current_mass_projected,cylinder,0.0,4.0,p003,1.4960000000000002,0.3175,28
final_current_mass_projected,cylinder,0.0,4.0,p004,1.608,0.3055,31
final_current_mass_projected,cylinder,0.0,4.0,p005,1.62,0.2839999999999999,36
final_current_mass_projected,cylinder,0.0,4.0,p006,1.596,0.28700000000000003,35
final_current_mass_projected,cylinder,0.0,4.0,p007,1.6460000000000001,0.37349999999999983,21
final_current_mass_projected,cylinder,0.0,4.0,p008,1.4700000000000002,0.279,36
final_current_mass_projected,cylinder,0.0,4.0,p009,1.7540000000000002,0.29799999999999993,34
final_current_mass_projected,cylinder,0.0,4.0,p010,1.4040000000000001,0.29900000000000004,31
final_current_mass_projected,cylinder,0.0,4.0,p011,2.054,0.29000000000000004,40
final_current_mass_projected,cylinder,0.0,4.0,p012,2.044,0.3055000000000001,36
final_current_mass_projected,cylinder,0.0,4.0,p013,1.79,0.27249999999999985,41
final_current_mass_projected,cylinder,0.0,4.0,p014,1.7830000000000001,0.2629999999999999,44
final_current_mass_projected,cylinder,0.0,4.0,p015,1.679,0.31400000000000006,30
final_current_mass_projected,cylinder,0.0,4.0,p016,1.947,0.30400000000000005,35
final_current_mass_projected,cylinder,0.0,4.0,p017,2.0140000000000002,0.2845000000000001,41
final_current_mass_projected,cylinder,0.0,4.0,p018,1.8290000000000002,0.2745000000000001,41
final_current_mass_projected,cylinder,0.0,4.0,p019,1.675,0.3135,30
final_current_mass_projected,cylinder,0.0,4.0,p020,1.8850000000000002,0.3045000000000001,34
