sample,geometry,radius_inner_pc,radius_pc,projection,alpha,alpha_err,n
initial_global_birth_mass,global,0.0,inf,none,2.1270000000000002,0.11699999999999999,252
final_survivors_birth_mass,global,0.0,inf,none,2.1270000000000002,0.11699999999999999,252
final_survivors_current_mass,global,0.0,inf,none,1.9540000000000002,0.10799999999999998,277
final_current_mass_3d,sphere,0.0,2.0,none,nan,nan,3
final_current_mass_projected,cylinder,0.0,2.0,p000,2.9290000000000003,0.6935,11
final_current_mass_projected,cylinder,0.0,2.0,p001,nan,nan,7
final_current_mass_projected,cylinder,0.0,2.0,p002,nan,nan,7
final_current_mass_projected,cylinder,0.0,2.0,p003,1.7020000000000002,0.5475000000000001,10
final_current_mass_projected,cylinder,0.0,2.0,p004,1.6660000000000001,0.519,11
final_current_mass_projected,cylinder,0.0,2.0,p005,2.4330000000000003,0.637,10
final_current_mass_projected,cylinder,0.0,2.0,p006,1.8130000000000002,0.5569999999999999,10
final_current_mass_projected,cylinder,0.0,2.0,p007,2.777,0.6975,10
final_current_mass_projected,cylinder,0.0,2.0,p008,1.7040000000000002,0.43200000000000016,16
final_current_mass_projected,cylinder,0.0,2.0,p009,2.354,0.5464999999999999,13
final_current_mass_projected,cylinder,0.0,2.0,p010,nan,nan,6
final_current_mass_projected,cylinder,0.0,2.0,p011,2.116,0.563,11
final_current_mass_projected,cylinder,0.0,2.0,p012,1.7890000000000001,0.555,10
final_current_mass_projected,cylinder,0.0,2.0,p013,nan,nan,5
final_current_mass_projected,cylinder,0.0,2.0,p014,2.8760000000000003,0.683,11
final_current_mass_projected,cylinder,0.0,2.0,p015,2.7600000000000002,0.5860000000000001,14
final_current_mass_projected,cylinder,0.0,2.0,p016,nan,nan,9
final_current_mass_projected,cylinder,0.0,2.0,p017,2.3800000000000003,0.5499999999999999,13
final_current_mass_projected,cylinder,0.0,2.0,p018,nan,nan,7
final_current_mass_projected,cylinder,0.0,2.0,p019,2.325,0.523,14
final_current_mass_projected,cylinder,0.0,2.0,p020,1.9700000000000002,0.5735,10
final_current_mass_projected,cylinder,0.0,2.0,p021,2.008,0.48750000000000004,14
final_current_mass_projected,cylinder,0.0,2.0,p022,nan,nan,4
final_current_mass_projected,cylinder,0.0,2.0,p023,2.814,0.7050000000000001,10
final_current_mass_projected,cylinder,0.0,2.0,p024,2.9490000000000003,0.6675000000000002,12
final_current_mass_projected,cylinder,0.0,2.0,p025,1.8890000000000002,0.4764999999999999,14
final_current_mass_projected,cylinder,0.0,2.0,p026,2.285,0.5175,14
final_current_mass_projected,cylinder,0.0,2.0,p027,nan,nan,6
final_current_mass_projected,cylinder,0.0,2.0,p028,nan,nan,5
final_current_mass_projected,cylinder,0.0,2.0,p029,1.8690000000000002,0.49250000000000016,13
final_current_mass_projected,cylinder,0.0,2.0,p030,nan,nan,9
final_current_mass_projected,cylinder,0.0,2.0,p031,1.256,0.5225,10
final_current_mass_3d,sphere,0.0,4.0,none,1.213,0.42450000000000004,15
final_current_mass_projected,cylinder,0.0,4.0,p000,2.025,0.2815000000000001,42
final_current_mass_projected,cylinder,0.0,4.0,p001,1.6640000000000001,0.2985,33
final_current_mass_projected,cylinder,0.0,4.0,p002,1.602,0.2875,35
final_current_mass_projected,cylinder,0.0,4.0,p003,1.4280000000000002,0.2945,32
final_current_mass_projected,cylinder,0.0,4.0,p004,1.9880000000000002,0.2865000000000001,40
final_current_mass_projected,cylinder,0.0,4.0,p005,1.9840000000000002,0.30200000000000005,36
final_current_mass_projected,cylinder,0.0,4.0,p006,1.671,0.26750000000000007,41
final_current_mass_projected,cylinder,0.0,4.0,p007,2.026,0.28500000000000003,41
final_current_mass_projected,cylinder,0.0,4.0,p008,1.8690000000000002,0.27,43
final_current_mass_projected,cylinder,0.0,4.0,p009,1.9080000000000001,0.3015000000000001,35
final_current_mass_projected,cylinder,0.0,4.0,p010,1.862,0.2869999999999999,38
final_current_mass_projected,cylinder,0.0,4.0,p011,1.737,0.28849999999999987,36
final_current_mass_projected,cylinder,0.0,4.0,p012,1.9480000000000002,0.28049999999999997,41
final_current_mass_projected,cylinder,0.0,4.0,p013,1.824,0.268,43
final_current_mass_projected,cylinder,0.0,4.0,p014,1.558,0.278,37
final_current_mass_projected,cylinder,0.0,4.0,p015,2.034,0.27849999999999997,43
final_current_mass_projected,cylinder,0.0,4.0,p016,1.9020000000000001,0.272,43
final_current_mass_projected,cylinder,0.0,4.0,p017,1.647,0.27349999999999997,39
final_current_mass_projected,cylinder,0.0,4.0,p018,1.6540000000000001,0.2935,34
final_current_mass_projected,cylinder,0.0,4.0,p019,1.8410000000000002,0.3025,34
final_current_mass_projected,cylinder,0.0,4.0,p020,1.7540000000000002,0.2779999999999999,39
final_current_mass_projected,cylinder,0.0,4.0,p021,1.768,0.279,39
final_current_mass_projected,cylinder,0.0,4.0,p022,1.727,0.2965,34
final_current_mass_projected,cylinder,0.0,4.0,p023,1.8250000000000002,0.28900000000000015,37
final_current_mass_projected,cylinder,0.0,4.0,p024,1.977,0.29700000000000004,37
final_current_mass_projected,cylinder,0.0,4.0,p025,1.86,0.26949999999999996,43
final_current_mass_projected,cylinder,0.0,4.0,p026,1.8940000000000001,0.30499999999999994,34
final_current_mass_projected,cylinder,0.0,4.0,p027,1.7100000000000002,0.266,42
final_current_mass_projected,cylinder,0.0,4.0,p028,1.697,0.30500000000000005,32
final_current_mass_projected,cylinder,0.0,4.0,p029,2.042,0.25850000000000006,50
final_current_mass_projected,cylinder,0.0,4.0,p030,1.899,0.2965,36
final_current_mass_projected,cylinder,0.0,4.0,p031,1.6700000000000002,0.268,41
final_current_mass_3d,sphere,0.0,8.0,none,1.9820000000000002,0.22049999999999992,67
final_current_mass_projected,cylinder,0.0,8.0,p000,2.1710000000000003,0.1755,114
final_current_mass_projected,cylinder,0.0,8.0,p001,1.9900000000000002,0.1925,88
final_current_mass_projected,cylinder,0.0,8.0,p002,1.9900000000000002,0.1894999999999999,91
final_current_mass_projected,cylinder,0.0,8.0,p003,1.9060000000000001,0.18099999999999994,97
final_current_mass_projected,cylinder,0.0,8.0,p004,1.9140000000000001,0.18149999999999988,96
final_current_mass_projected,cylinder,0.0,8.0,p005,1.977,0.18900000000000006,91
final_current_mass_projected,cylinder,0.0,8.0,p006,1.943,0.17999999999999994,99
final_current_mass_projected,cylinder,0.0,8.0,p007,2.069,0.1745,111
final_current_mass_projected,cylinder,0.0,8.0,p008,2.119,0.1795,107
final_current_mass_projected,cylinder,0.0,8.0,p009,1.935,0.1865,92
final_current_mass_projected,cylinder,0.0,8.0,p010,1.9240000000000002,0.18299999999999994,95
final_current_mass_projected,cylinder,0.0,8.0,p011,2.005,0.18299999999999994,98
final_current_mass_projected,cylinder,0.0,8.0,p012,2.115,0.1775,109
final_current_mass_projected,cylinder,0.0,8.0,p013,2.123,0.18400000000000005,102
final_current_mass_projected,cylinder,0.0,8.0,p014,1.9360000000000002,0.1864999999999999,92
final_current_mass_projected,cylinder,0.0,8.0,p015,2.194,0.1885000000000001,100
final_current_mass_projected,cylinder,0.0,8.0,p016,2.048,0.17499999999999993,109
final_current_mass_projected,cylinder,0.0,8.0,p017,2.1180000000000003,0.18299999999999994,103
final_current_mass_projected,cylinder,0.0,8.0,p018,1.959,0.1915,88
final_current_mass_projected,cylinder,0.0,8.0,p019,2.103,0.18700000000000006,98
final_current_mass_projected,cylinder,0.0,8.0,p020,2.074,0.18100000000000005,103
final_current_mass_projected,cylinder,0.0,8.0,p021,2.052,0.18100000000000005,102
final_current_mass_projected,cylinder,0.0,8.0,p022,2.0180000000000002,0.19299999999999995,89
final_current_mass_projected,cylinder,0.0,8.0,p023,1.987,0.1755,106
final_current_mass_projected,cylinder,0.0,8.0,p024,2.136,0.1745,114
final_current_mass_projected,cylinder,0.0,8.0,p025,2.128,0.17699999999999994,111
final_current_mass_projected,cylinder,0.0,8.0,p026,1.927,0.18399999999999994,94
final_current_mass_projected,cylinder,0.0,8.0,p027,1.955,0.1875,92
final_current_mass_projected,cylinder,0.0,8.0,p028,2.015,0.1825,99
final_current_mass_projected,cylinder,0.0,8.0,p029,1.947,0.17999999999999994,99
final_current_mass_projected,cylinder,0.0,8.0,p030,1.9440000000000002,0.18400000000000005,95
final_current_mass_projected,cylinder,0.0,8.0,p031,1.931,0.1874999999999999,91
final_current_mass_3d,sphere,0.0,11.68,none,2.044,0.17099999999999993,114
final_current_mass_projected,cylinder,0.0,11.68,p000,2.07,0.15100000000000013,148
final_current_mass_projected,cylinder,0.0,11.68,p001,2.057,0.15600000000000014,138
final_current_mass_projected,cylinder,0.0,11.68,p002,2.058,0.15399999999999991,141
final_current_mass_projected,cylinder,0.0,11.68,p003,2.092,0.15999999999999992,133
final_current_mass_projected,cylinder,0.0,11.68,p004,2.053,0.15449999999999997,141
final_current_mass_projected,cylinder,0.0,11.68,p005,2.057,0.15449999999999997,141
final_current_mass_projected,cylinder,0.0,11.68,p006,2.081,0.15750000000000008,137
final_current_mass_projected,cylinder,0.0,11.68,p007,2.08,0.15599999999999992,139
