sample,geometry,radius_inner_pc,radius_pc,projection,alpha,alpha_err,n
initial_global_birth_mass,global,0.0,inf,none,2.121,0.10650000000000004,302
final_survivors_birth_mass,global,0.0,inf,none,2.121,0.10650000000000004,302
final_survivors_current_mass,global,0.0,inf,none,1.985,0.09999999999999987,324
final_current_mass_3d,sphere,0.0,2.0,none,nan,nan,6
final_current_mass_projected,cylinder,0.0,2.0,p000,1.6720000000000002,0.358,23
final_current_mass_projected,cylinder,0.0,2.0,p001,1.933,0.38250000000000006,22
final_current_mass_projected,cylinder,0.0,2.0,p002,1.5060000000000002,0.3969999999999999,18
final_current_mass_projected,cylinder,0.0,2.0,p003,1.768,0.34850000000000003,25
final_current_mass_projected,cylinder,0.0,2.0,p004,1.499,0.39649999999999996,18
final_current_mass_projected,cylinder,0.0,2.0,p005,1.071,0.3755000000000001,19
final_current_mass_projected,cylinder,0.0,2.0,p006,1.872,0.362,24
final_current_mass_projected,cylinder,0.0,2.0,p007,1.4560000000000002,0.32799999999999996,26
final_current_mass_projected,cylinder,0.0,2.0,p008,1.415,0.38249999999999995,19
final_current_mass_projected,cylinder,0.0,2.0,p009,1.296,0.36050000000000004,21
final_current_mass_projected,cylinder,0.0,2.0,p010,1.699,0.33799999999999997,26
final_current_mass_projected,cylinder,0.0,2.0,p011,1.2550000000000001,0.4000000000000001,17
final_current_mass_projected,cylinder,0.0,2.0,p012,1.9920000000000002,0.363,25
final_current_mass_projected,cylinder,0.0,2.0,p013,1.542,0.34450000000000003,24
final_current_mass_projected,cylinder,0.0,2.0,p014,1.8150000000000002,0.40300000000000014,19
final_current_mass_projected,cylinder,0.0,2.0,p015,1.78,0.32999999999999996,28
final_current_mass_projected,cylinder,0.0,2.0,p016,1.8890000000000002,0.39849999999999997,20
final_current_mass_projected,cylinder,0.0,2.0,p017,1.058,0.4095000000000001,16
final_current_mass_projected,cylinder,0.0,2.0,p018,1.701,0.386,20
final_current_mass_projected,cylinder,0.0,2.0,p019,1.6900000000000002,0.3374999999999999,26
final_current_mass_projected,cylinder,0.0,2.0,p020,1.9480000000000002,0.3669999999999999,24
final_current_mass_projected,cylinder,0.0,2.0,p021,1.3530000000000002,0.35350000000000004,22
final_current_mass_projected,cylinder,0.0,2.0,p022,1.8250000000000002,0.36650000000000005,23
final_current_mass_projected,cylinder,0.0,2.0,p023,1.6540000000000001,0.3425,25
final_current_mass_projected,cylinder,0.0,2.0,p024,1.219,0.3775000000000001,19
final_current_mass_projected,cylinder,0.0,2.0,p025,1.415,0.38249999999999995,19
final_current_mass_projected,cylinder,0.0,2.0,p026,1.4160000000000001,0.373,20
final_current_mass_projected,cylinder,0.0,2.0,p027,1.6070000000000002,0.3105,30
final_current_mass_projected,cylinder,0.0,2.0,p028,1.7480000000000002,0.40949999999999986,18
final_current_mass_projected,cylinder,0.0,2.0,p029,1.6250000000000002,0.37249999999999994,21
final_current_mass_projected,cylinder,0.0,2.0,p030,1.4740000000000002,0.4855000000000001,12
final_current_mass_projected,cylinder,0.0,2.0,p031,1.7380000000000002,0.34650000000000003,25
final_current_mass_3d,sphere,0.0,4.0,none,1.588,0.28700000000000003,35
final_current_mass_projected,cylinder,0.0,4.0,p000,2.1220000000000003,0.22250000000000014,70
final_current_mass_projected,cylinder,0.0,4.0,p001,1.703,0.20550000000000002,70
final_current_mass_projected,cylinder,0.0,4.0,p002,1.937,0.21749999999999992,68
final_current_mass_projected,cylinder,0.0,4.0,p003,1.9920000000000002,0.21300000000000008,72
final_current_mass_projected,cylinder,0.0,4.0,p004,1.7910000000000001,0.22349999999999992,61
final_current_mass_projected,cylinder,0.0,4.0,p005,1.8330000000000002,0.21150000000000002,69
final_current_mass_projected,cylinder,0.0,4.0,p006,1.9440000000000002,0.20850000000000002,74
final_current_mass_projected,cylinder,0.0,4.0,p007,1.9000000000000001,0.21099999999999997,71
final_current_mass_projected,cylinder,0.0,4.0,p008,1.693,0.20699999999999996,69
final_current_mass_projected,cylinder,0.0,4.0,p009,1.7120000000000002,0.2074999999999999,69
final_current_mass_projected,cylinder,0.0,4.0,p010,1.8190000000000002,0.2084999999999998,71
final_current_mass_projected,cylinder,0.0,4.0,p011,1.9800000000000002,0.23099999999999987,61
final_current_mass_projected,cylinder,0.0,4.0,p012,1.977,0.22049999999999992,67
final_current_mass_projected,cylinder,0.0,4.0,p013,1.749,0.21199999999999997,67
final_current_mass_projected,cylinder,0.0,4.0,p014,1.695,0.20850000000000002,68
final_current_mass_projected,cylinder,0.0,4.0,p015,1.931,0.2290000000000001,61
final_current_mass_projected,cylinder,0.0,4.0,p016,2.1670000000000003,0.22799999999999998,68
final_current_mass_projected,cylinder,0.0,4.0,p017,1.733,0.20850000000000002,69
final_current_mass_projected,cylinder,0.0,4.0,p018,1.6250000000000002,0.21000000000000008,66
final_current_mass_projected,cylinder,0.0,4.0,p019,1.776,0.2230000000000001,61
final_current_mass_projected,cylinder,0.0,4.0,p020,2.054,0.22399999999999998,67
final_current_mass_projected,cylinder,0.0,4.0,p021,1.8090000000000002,0.2224999999999998,62
final_current_mass_projected,cylinder,0.0,4.0,p022,1.9980000000000002,0.21199999999999997,73
final_current_mass_projected,cylinder,0.0,4.0,p023,1.8510000000000002,0.20900000000000007,71
final_current_mass_projected,cylinder,0.0,4.0,p024,1.9060000000000001,0.21150000000000002,71
final_current_mass_projected,cylinder,0.0,4.0,p025,1.7100000000000002,0.2074999999999999,69
final_current_mass_projected,cylinder,0.0,4.0,p026,1.846,0.20099999999999996,77
final_current_mass_projected,cylinder,0.0,4.0,p027,1.81,0.19899999999999995,77
final_current_mass_projected,cylinder,0.0,4.0,p028,1.991,0.21800000000000008,69
final_current_mass_projected,cylinder,0.0,4.0,p029,1.838,0.2254999999999998,61
final_current_mass_projected,cylinder,0.0,4.0,p030,1.872,0.21950000000000003,65
final_current_mass_projected,cylinder,0.0,4.0,p031,1.931,0.2154999999999999,69
final_current_mass_3d,sphere,0.0,8.0,none,2.026,0.17200000000000004,112
final_current_mass_projected,cylinder,0.0,8.0,p000,1.9760000000000002,0.14249999999999996,160
final_current_mass_projected,cylinder,0.0,8.0,p001,1.935,0.14200000000000002,158
final_current_mass_projected,cylinder,0.0,8.0,p002,2.036,0.1509999999999999,146
final_current_mass_projected,cylinder,0.0,8.0,p003,2.0020000000000002,0.15049999999999986,145
final_current_mass_projected,cylinder,0.0,8.0,p004,1.961,0.14750000000000008,148
final_current_mass_projected,cylinder,0.0,8.0,p005,2.069,0.14550000000000007,159
final_current_mass_projected,cylinder,0.0,8.0,p006,1.9680000000000002,0.14800000000000013,148
final_current_mass_projected,cylinder,0.0,8.0,p007,2.0180000000000002,0.1419999999999999,164
final_current_mass_projected,cylinder,0.0,8.0,p008,2.0140000000000002,0.14849999999999997,149
final_current_mass_projected,cylinder,0.0,8.0,p009,1.9000000000000001,0.14449999999999985,151
final_current_mass_projected,cylinder,0.0,8.0,p010,2.015,0.14049999999999996,167
final_current_mass_projected,cylinder,0.0,8.0,p011,1.9580000000000002,0.14100000000000001,161
final_current_mass_projected,cylinder,0.0,8.0,p012,2.008,0.14249999999999996,162
final_current_mass_projected,cylinder,0.0,8.0,p013,1.9660000000000002,0.14350000000000007,157
final_current_mass_projected,cylinder,0.0,8.0,p014,1.895,0.1409999999999999,158
final_current_mass_projected,cylinder,0.0,8.0,p015,2.016,0.1389999999999999,171
final_current_mass_projected,cylinder,0.0,8.0,p016,1.9900000000000002,0.14350000000000007,158
final_current_mass_projected,cylinder,0.0,8.0,p017,2.058,0.14500000000000002,159
final_current_mass_projected,cylinder,0.0,8.0,p018,1.9200000000000002,0.1399999999999999,162
final_current_mass_projected,cylinder,0.0,8.0,p019,2.031,0.13850000000000007,173
final_current_mass_projected,cylinder,0.0,8.0,p020,1.9960000000000002,0.14300000000000002,160
final_current_mass_projected,cylinder,0.0,8.0,p021,2.045,0.14550000000000007,158
final_current_mass_projected,cylinder,0.0,8.0,p022,2.003,0.14200000000000002,163
final_current_mass_projected,cylinder,0.0,8.0,p023,2.016,0.14300000000000002,162
final_current_mass_projected,cylinder,0.0,8.0,p024,2.057,0.14200000000000002,166
final_current_mass_projected,cylinder,0.0,8.0,p025,2.025,0.14850000000000008,150
final_current_mass_projected,cylinder,0.0,8.0,p026,1.864,0.14349999999999996,151
final_current_mass_projected,cylinder,0.0,8.0,p027,2.009,0.14100000000000001,166
final_current_mass_projected,cylinder,0.0,8.0,p028,1.985,0.14549999999999996,154
final_current_mass_projected,cylinder,0.0,8.0,p029,1.963,0.1449999999999999,153
final_current_mass_projected,cylinder,0.0,8.0,p030,2.059,0.14549999999999996,159
final_current_mass_projected,cylinder,0.0,8.0,p031,1.8880000000000001,0.14600000000000002,147
final_current_mass_3d,sphere,0.0,11.68,none,1.995,0.135,179
final_current_mass_projected,cylinder,0.0,11.68,p000,2.06,0.12749999999999995,207
final_current_mass_projected,cylinder,0.0,11.68,p001,2.051,0.1270000000000001,207
final_current_mass_projected,cylinder,0.0,11.68,p002,2.043,0.1270000000000001,206
final_current_mass_projected,cylinder,0.0,11.68,p003,2.064,0.12650000000000006,211
final_current_mass_projected,cylinder,0.0,11.68,p004,2.039,0.128,203
final_current_mass_projected,cylinder,0.0,11.68,p005,2.113,0.12850000000000006,208
final_current_mass_projected,cylinder,0.0,11.68,p006,1.9900000000000002,0.12650000000000006,203
final_current_mass_projected,cylinder,0.0,11.68,p007,2.107,0.129,205
final_current_mass_projected,cylinder,0.0,11.68,p008,2.055,0.12750000000000006,205
final_current_mass_projected,cylinder,0.0,11.68,p009,2.0060000000000002,0.128,199
final_current_mass_projected,cylinder,0.0,11.68,p010,2.112,0.12650000000000006,215
final_current_mass_projected,cylinder,0.0,11.68,p011,2.041,0.127,206
final_current_mass_projected,cylinder,0.0,11.68,p012,2.072,0.12949999999999995,201
final_current_mass_projected,cylinder,0.0,11.68,p013,2.025,0.126,208
final_current_mass_projected,cylinder,0.0,11.68,p014,2.0020000000000002,0.12449999999999994,211
final_current_mass_projected,cylinder,0.0,11.68,p015,2.044,0.12550000000000006,212
final_current_mass_projected,cylinder,0.0,11.68,p016,2.067,0.12850000000000006,203
final_current_mass_projected,cylinder,0.0,11.68,p017,2.007,0.1260000000000001,207
final_current_mass_projected,cylinder,0.0,11.68,p018,2.053,0.12649999999999995,208
final_current_mass_projected,cylinder,0.0,11.68,p019,2.078,0.126,214
final_current_mass_projected,cylinder,0.0,11.68,p020,2.061,0.12749999999999995,207
final_current_mass_projected,cylinder,0.0,11.68,p021,2.021,0.126,208
final_current_mass_projected,cylinder,0.0,11.68,p022,2.069,0.12450000000000006,216
final_current_mass_projected,cylinder,0.0,11.68,p023,2.025,0.1250000000000001,210
final_current_mass_projected,cylinder,0.0,11.68,p024,2.059,0.12849999999999995,202
final_current_mass_projected,cylinder,0.0,11.68,p025,2.067,0.128,205
