sample,geometry,radius_inner_pc,radius_pc,projection,alpha,alpha_err,n
initial_global_birth_mass,global,0.0,inf,none,2.1100000000000003,0.1120000000000001,274
final_survivors_birth_mass,global,0.0,inf,none,2.1100000000000003,0.1120000000000001,274
final_survivors_current_mass,global,0.0,inf,none,1.929,0.10349999999999993,299
final_current_mass_3d,sphere,0.0,2.0,none,nan,nan,1
final_current_mass_projected,cylinder,0.0,2.0,p000,nan,nan,7
final_current_mass_projected,cylinder,0.0,2.0,p001,nan,nan,6
final_current_mass_projected,cylinder,0.0,2.0,p002,nan,nan,2
final_current_mass_projected,cylinder,0.0,2.0,p003,nan,nan,6
final_current_mass_projected,cylinder,0.0,2.0,p004,nan,nan,5
final_current_mass_projected,cylinder,0.0,2.0,p005,nan,nan,4
final_current_mass_projected,cylinder,0.0,2.0,p006,nan,nan,6
final_current_mass_projected,cylinder,0.0,2.0,p007,2.075,0.5585000000000001,11
final_current_mass_projected,cylinder,0.0,2.0,p008,nan,nan,2
final_current_mass_projected,cylinder,0.0,2.0,p009,nan,nan,9
final_current_mass_projected,cylinder,0.0,2.0,p010,nan,nan,7
final_current_mass_projected,cylinder,0.0,2.0,p011,nan,nan,8
final_current_mass_projected,cylinder,0.0,2.0,p012,nan,nan,3
final_current_mass_projected,cylinder,0.0,2.0,p013,nan,nan,7
final_current_mass_projected,cylinder,0.0,2.0,p014,nan,nan,3
final_current_mass_projected,cylinder,0.0,2.0,p015,nan,nan,5
final_current_mass_projected,cylinder,0.0,2.0,p016,nan,nan,6
final_current_mass_projected,cylinder,0.0,2.0,p017,nan,nan,6
final_current_mass_projected,cylinder,0.0,2.0,p018,nan,nan,6
final_current_mass_projected,cylinder,0.0,2.0,p019,nan,nan,7
final_current_mass_projected,cylinder,0.0,2.0,p020,nan,nan,5
final_current_mass_projected,cylinder,0.0,2.0,p021,nan,nan,2
final_current_mass_projected,cylinder,0.0,2.0,p022,nan,nan,5
final_current_mass_projected,cylinder,0.0,2.0,p023,nan,nan,2
final_current_mass_projected,cylinder,0.0,2.0,p024,nan,nan,8
final_current_mass_projected,cylinder,0.0,2.0,p025,nan,nan,3
final_current_mass_projected,cylinder,0.0,2.0,p026,nan,nan,8
final_current_mass_projected,cylinder,0.0,2.0,p027,nan,nan,7
final_current_mass_projected,cylinder,0.0,2.0,p028,nan,nan,6
final_current_mass_projected,cylinder,0.0,2.0,p029,nan,nan,3
final_current_mass_projected,cylinder,0.0,2.0,p030,nan,nan,7
final_current_mass_projected,cylinder,0.0,2.0,p031,nan,nan,7
final_current_mass_3d,sphere,0.0,4.0,none,nan,nan,5
final_current_mass_projected,cylinder,0.0,4.0,p000,1.743,0.4215,17
final_current_mass_projected,cylinder,0.0,4.0,p001,1.3490000000000002,0.38050000000000006,19
final_current_mass_projected,cylinder,0.0,4.0,p002,1.695,0.38549999999999995,20
final_current_mass_projected,cylinder,0.0,4.0,p003,1.604,0.3405,25
final_current_mass_projected,cylinder,0.0,4.0,p004,1.8450000000000002,0.44199999999999995,16
