sample,geometry,radius_inner_pc,radius_pc,projection,alpha,alpha_err,n
initial_global_birth_mass,global,0.0,inf,none,2.1140000000000003,0.11149999999999993,275
final_survivors_birth_mass,global,0.0,inf,none,2.1140000000000003,0.11149999999999993,275
final_survivors_current_mass,global,0.0,inf,none,1.9540000000000002,0.10299999999999987,300
final_current_mass_3d,sphere,0.0,2.0,none,1.848,0.4570000000000001,15
final_current_mass_projected,cylinder,0.0,2.0,p000,1.9020000000000001,0.2749999999999999,42
final_current_mass_projected,cylinder,0.0,2.0,p001,1.8570000000000002,0.2869999999999999,38
final_current_mass_projected,cylinder,0.0,2.0,p002,2.1390000000000002,0.34150000000000014,30
final_current_mass_projected,cylinder,0.0,2.0,p003,2.06,0.31999999999999995,33
final_current_mass_projected,cylinder,0.0,2.0,p004,2.1260000000000003,0.31499999999999995,35
final_current_mass_projected,cylinder,0.0,2.0,p005,1.9720000000000002,0.2925,38
final_current_mass_projected,cylinder,0.0,2.0,p006,1.745,0.274,40
final_current_mass_projected,cylinder,0.0,2.0,p007,1.993,0.3205,32
final_current_mass_projected,cylinder,0.0,2.0,p008,1.9480000000000002,0.2875,39
final_current_mass_projected,cylinder,0.0,2.0,p009,1.792,0.27649999999999997,40
final_current_mass_projected,cylinder,0.0,2.0,p010,2.03,0.2925000000000001,39
final_current_mass_projected,cylinder,0.0,2.0,p011,1.895,0.29699999999999993,36
final_current_mass_projected,cylinder,0.0,2.0,p012,2.0100000000000002,0.2839999999999999,41
final_current_mass_projected,cylinder,0.0,2.0,p013,1.608,0.29600000000000004,33
final_current_mass_projected,cylinder,0.0,2.0,p014,1.907,0.29699999999999993,36
final_current_mass_projected,cylinder,0.0,2.0,p015,2.172,0.3095000000000001,37
final_current_mass_projected,cylinder,0.0,2.0,p016,1.743,0.2849999999999999,37
final_current_mass_projected,cylinder,0.0,2.0,p017,1.8250000000000002,0.2775000000000001,40
final_current_mass_projected,cylinder,0.0,2.0,p018,1.9400000000000002,0.29500000000000004,37
final_current_mass_projected,cylinder,0.0,2.0,p019,2.0140000000000002,0.2879999999999999,40
final_current_mass_projected,cylinder,0.0,2.0,p020,1.8730000000000002,0.2909999999999999,37
final_current_mass_projected,cylinder,0.0,2.0,p021,1.701,0.257,45
final_current_mass_projected,cylinder,0.0,2.0,p022,1.6520000000000001,0.27749999999999997,38
final_current_mass_projected,cylinder,0.0,2.0,p023,1.8370000000000002,0.3025,34
final_current_mass_projected,cylinder,0.0,2.0,p024,1.901,0.2815000000000001,40
final_current_mass_projected,cylinder,0.0,2.0,p025,1.995,0.29049999999999987,39
final_current_mass_projected,cylinder,0.0,2.0,p026,1.937,0.2835,40
final_current_mass_projected,cylinder,0.0,2.0,p027,2.145,0.2919999999999999,41
final_current_mass_projected,cylinder,0.0,2.0,p028,1.935,0.28700000000000014,39
final_current_mass_projected,cylinder,0.0,2.0,p029,2.22,0.31299999999999994,37
