n_stars,softening_rh,n_runs,median_delta_alpha_contrast,p16_delta_alpha_contrast,p84_delta_alpha_contrast,fraction_positive_delta_alpha_contrast,median_delta_radius_ratio,fraction_positive_delta_radius_ratio,max_absolute_energy_error,fraction_energy_pass,n_energy_pass,median_delta_alpha_contrast_energy_pass,fraction_positive_delta_alpha_contrast_energy_pass,median_delta_radius_ratio_energy_pass,fraction_positive_delta_radius_ratio_energy_pass
all,all,72,0.3444999999999998,0.13171999999999953,0.6164799999999998,0.9305555555555556,0.11785912310279739,0.875,0.008564883255980453,0.7222222222222222,52,0.33399999999999963,0.9423076923076923,0.11846946127865088,0.8653846153846154
128,0.005,8,0.6119999999999999,0.2103599999999993,0.9370800000000001,1.0,0.3973673234607632,1.0,0.0018518019699252178,0.875,7,0.5960000000000001,1.0,0.34636319516477654,1.0
128,0.01,8,0.3394999999999998,0.1453599999999997,0.74968,0.875,0.12414594609840568,0.75,0.008564883255980453,0.5,4,0.3394999999999998,1.0,0.12414594609840568,0.75
128,0.02,8,0.49350000000000016,0.35427999999999976,0.5785600000000003,1.0,0.1498164051068453,0.875,0.004813915535498028,0.625,5,0.4880000000000002,1.0,0.11712107705902208,1.0
256,0.005,8,0.33599999999999985,0.1142400000000001,0.4810400000000002,1.0,0.1349135586660576,0.875,0.0006610455014774116,1.0,8,0.33599999999999985,1.0,0.1349135586660576,0.875
256,0.01,8,0.32650000000000046,0.1277600000000006,0.6982800000000003,0.875,0.17623542232804673,0.75,0.002257285876825133,0.875,7,0.22000000000000064,0.8571428571428571,0.1639768511008456,0.7142857142857143
256,0.02,8,0.4495,0.2601999999999998,0.8048799999999999,0.875,0.15882662193146746,1.0,0.0032063947173203017,0.25,2,0.6134999999999999,1.0,0.20042294372666525,1.0
512,0.005,8,0.31700000000000017,0.25891999999999965,0.34639999999999993,1.0,0.07822016340384452,0.875,0.0020539563839293775,0.875,7,0.3250000000000002,1.0,0.08236044898287043,0.8571428571428571
512,0.01,8,0.23850000000000038,0.13671999999999926,0.37055999999999967,1.0,0.04355281446948467,1.0,0.0013133728006364232,0.875,7,0.24900000000000055,1.0,0.03705496865851643,1.0
512,0.02,8,0.11749999999999972,0.00039999999999938956,0.41832000000000036,0.75,0.0930801148697028,0.75,0.004688686495894788,0.625,5,0.16199999999999992,0.6,0.01060254714287201,0.6
