n_stars,softening_rh,n_runs,median_delta_alpha_contrast,p16_delta_alpha_contrast,p84_delta_alpha_contrast,fraction_positive_delta_alpha_contrast,median_delta_radius_ratio,fraction_positive_delta_radius_ratio,max_absolute_energy_error,fraction_energy_pass
all,all,72,0.33350000000000013,0.07475999999999995,0.6689600000000006,0.9166666666666666,0.09798778083324816,0.8333333333333334,0.008289313260765286,0.7638888888888888
128,0.005,8,0.6575000000000001,0.0899599999999999,1.0885599999999998,0.875,0.5517788538456465,0.875,0.005571439513490076,0.875
128,0.01,8,0.26549999999999996,0.1613199999999999,0.6647999999999998,0.875,0.15305651561582012,0.75,0.008289313260765286,0.75
128,0.02,8,0.3530000000000001,0.26492000000000043,0.5883999999999999,1.0,0.04050545425902985,0.75,0.005418148497030821,0.625
256,0.005,8,0.2809999999999999,0.14072000000000018,0.4779599999999996,1.0,0.07885837430465487,0.75,0.005758250824977454,0.75
256,0.01,8,0.4290000000000004,0.06119999999999952,0.7947200000000005,0.875,0.1992385947776249,0.875,0.0011976386688768896,0.875
256,0.02,8,0.4995000000000003,0.2601999999999998,0.8148799999999998,0.875,0.13861088636205626,1.0,0.0033674312957863712,0.375
512,0.005,8,0.33650000000000047,0.13344000000000014,0.44688000000000005,1.0,0.06787202722517288,0.875,0.0002972595488914725,1.0
512,0.01,8,0.1815,0.14232000000000003,0.41875999999999985,1.0,0.05523683395880413,0.875,0.0008562716184039897,1.0
512,0.02,8,0.11850000000000005,0.001479999999999378,0.41392000000000007,0.75,0.09482798497342088,0.75,0.005025651339857945,0.625
