time_crossing,relative_energy_error,median_radius_all,median_radius_low_mass,median_radius_high_mass,radius_ratio_low_to_high,alpha_global,alpha_inner_half,alpha_outer_half,n_inner,n_outer
0.0,0.0,1.0257796464380293,1.035425431826034,1.0189938340365647,1.0161253162095971,2.157,2.0629999999999997,2.254,128,128
0.5,-0.0005598083611056244,0.9836512438770777,1.047134351001278,0.9516344078600345,1.1003536046536997,2.157,2.1500000000000004,2.1630000000000003,128,128
1.0,-0.00023455444025609622,0.982750352532111,0.9828637522039887,0.982750352532111,1.000115390110607,2.157,2.083,2.233,128,128
1.5,-0.00018163241631329383,0.9882142093456585,1.0386218830280147,0.9549731025480048,1.087592813092665,2.157,2.042,2.277,128,128
2.0,-0.002744665407514482,1.0184352077376149,1.1136236827746493,0.9724488756521195,1.145174528612477,2.157,2.077,2.239,128,128
2.5,-0.0010336653366626255,1.0171970834833992,1.0228660119763342,1.0060944137788417,1.016670004293632,2.157,2.123,2.191,128,128
3.0,-0.0005058406291914163,1.0477859772158027,1.043702436264063,1.052620254253664,0.991527981764018,2.157,2.128,2.186,128,128
3.5,5.7914361860326054e-05,1.0586500406683985,1.062798552471937,1.05384727828802,1.008493900746661,2.157,2.043,2.276,128,128
4.0,-0.00017919126408111143,1.0774689450339754,1.0740678214311323,1.0805407542054808,0.9940095431392516,2.157,2.028,2.293,128,128
4.5,-0.000365125700890553,1.1094516882481775,1.1133736023203973,1.0891286205050803,1.0222608986292854,2.157,1.995,2.331,128,128
5.0,-0.0008362585192558563,1.115846695122534,1.1472333942640374,1.0905368353527798,1.051989586296658,2.157,2.0140000000000002,2.309,128,128
5.5,-0.00024361888940858,1.1343936690946044,1.1683349699149685,1.1266834916902608,1.03696821559196,2.157,2.021,2.301,128,128
6.0,-0.0008749439713377507,1.1184713097727976,1.1471644246688597,1.0387997783172298,1.1043171635319096,2.157,1.99,2.3369999999999997,128,128
6.5,3.673184694239024e-05,1.1423153950929263,1.1848555140020705,1.0935042737976224,1.083539902306184,2.157,2.076,2.241,128,128
7.0,-9.411820193671896e-05,1.1538288326693542,1.2762797765920164,1.0601369913380294,1.2038819388626247,2.157,2.012,2.311,128,128
7.5,-0.00024054888812496985,1.1586220652801404,1.217103391271996,1.0603610055025796,1.1478198320723092,2.157,1.952,2.3810000000000002,128,128
8.0,-0.0008992797463293723,1.155510791594204,1.239818076691395,1.0335905004816652,1.1995254175745862,2.157,1.99,2.3369999999999997,128,128
8.5,-0.0009327409548595994,1.1892115788392967,1.2931605925398424,1.0258302214442785,1.2605990401795595,2.157,1.919,2.4219999999999997,128,128
9.0,0.0001611976662985681,1.1716833707917227,1.2652113251779542,1.0640888946249218,1.1890090494966827,2.157,1.933,2.4050000000000002,128,128
9.5,0.0001752136136795686,1.1812995385843468,1.3070055837745058,1.1298957864344563,1.1567487899914595,2.157,1.957,2.3760000000000003,128,128
10.0,-0.0004442813657332669,1.2232883965244556,1.257524467712105,1.135633762475253,1.1073327592613802,2.157,1.999,2.327,128,128
