model_index,count,fraction,phi0,g,delta,rh_pc,rt_pc,inside_fraction_low_mass,inside_fraction_high_mass
156,1691,0.3382,4.0,1.0,0.3,4.0,19.726470053745476,0.985338222564109,0.9933769239699792
219,1199,0.2398,5.0,0.0,0.15,4.0,13.96674912522228,0.9971999263904807,0.9985004207159249
254,599,0.1198,5.0,1.0,0.15,4.0,22.81177341528723,0.9755736293974839,0.9847947882622051
93,324,0.0648,3.0,2.0,0.45,4.0,36.57367588777287,0.9637647225640783,0.9819879858858992
86,286,0.0572,3.0,2.0,0.3,4.0,32.24266343324787,0.9750097765373138,0.9835125812390212
149,213,0.0426,4.0,1.0,0.15,4.0,18.263534125613354,0.9922753451005188,0.9946645675483801
58,175,0.035,3.0,1.0,0.45,4.0,17.20520267224726,0.9935722008025362,0.997503709132548
184,63,0.0126,4.0,2.0,0.15,4.0,39.90182706802169,0.963116795793913,0.971921118136
191,56,0.0112,4.0,2.0,0.3,4.0,46.283348573725405,0.9462266488435253,0.9702860363328224
65,52,0.0104,3.0,1.0,0.6,4.0,19.170243812504182,0.985108713531746,0.9962955288623346
290,34,0.0068,5.0,2.0,0.15,5.0,76.15188156842561,0.8845374331752996,0.9176750560769754
226,33,0.0066,5.0,0.0,0.3,4.0,14.468913019092193,0.9936745897097017,0.9981852439598357
185,29,0.0058,4.0,2.0,0.15,5.0,49.87728383502711,0.9275470419789141,0.9439716585737191
100,27,0.0054,3.0,2.0,0.6,4.0,45.80420869779847,0.9392357672785879,0.978777459927913
324,26,0.0052,6.0,0.0,0.15,4.0,16.193866213510642,0.983710095354235,0.9919178977111616
261,25,0.005,5.0,1.0,0.3,4.0,25.260631670972717,0.9554997490817528,0.9832685039674244
283,23,0.0046,5.0,2.0,0.0,5.0,66.4098739739585,0.9128363091591679,0.9128363091591678
163,23,0.0046,4.0,1.0,0.45,4.0,22.095669483454234,0.971234075438,0.9919227827613775
121,19,0.0038,4.0,0.0,0.3,4.0,12.452110192925703,0.9999194023032264,0.9999723840848288
51,17,0.0034,3.0,1.0,0.3,4.0,15.99277515480869,0.9973129332022599,0.9984844193138355
247,17,0.0034,5.0,1.0,0.0,4.0,21.420113577190087,0.9843858008022793,0.9843858008022794
178,12,0.0024,4.0,2.0,0.0,5.0,46.43816282340671,0.9416422866991125,0.9416422866991122
79,11,0.0022,3.0,2.0,0.15,4.0,30.044253224096934,0.981104198717792,0.9843858899726085
212,9,0.0018,5.0,0.0,0.0,4.0,13.43584400016153,0.9987080341340983,0.9987080341340984
192,8,0.0016,4.0,2.0,0.3,5.0,57.85418571715676,0.9032626133848589,0.9448487579382034
87,5,0.001,3.0,2.0,0.3,5.0,40.30332929155984,0.9430950797446074,0.961460605151764
317,4,0.0008,6.0,0.0,0.0,4.0,15.790232470456287,0.9909715397770082,0.9909715397770085
213,3,0.0006,5.0,0.0,0.0,5.0,16.79480500020191,0.981489077558551,0.9814890775585511
73,2,0.0004,3.0,2.0,0.0,5.0,36.21572801111631,0.960140586393718,0.9601405863937179
177,2,0.0004,4.0,2.0,0.0,4.0,37.15053025872537,0.9719485596123131,0.9719485596123129
646,2,0.0004,9.0,0.0,0.3,4.0,12.795120795134277,0.9993463471011629,0.9997706498501996
297,1,0.0002,5.0,2.0,0.3,5.0,102.5760216811709,0.8327013686697209,0.9182546459473068
128,1,0.0002,4.0,0.0,0.45,4.0,13.054172031135973,0.9989562333016409,0.999793552922931
80,1,0.0002,3.0,2.0,0.15,5.0,37.55531653012117,0.953697584437878,0.9612550698079843
143,1,0.0002,4.0,1.0,0.0,5.0,21.900090985565928,0.9759456524041911,0.9759456524041911
150,1,0.0002,4.0,1.0,0.15,5.0,22.829417657016695,0.9671851452178766,0.9768192982751709
359,1,0.0002,6.0,1.0,0.15,4.0,29.259788966462132,0.9422651365369523,0.9667858406361608
289,1,0.0002,5.0,2.0,0.15,4.0,60.92150525474049,0.9283894407599647,0.9497922203662429
142,1,0.0002,4.0,1.0,0.0,4.0,17.52007278845274,0.9949655820153384,0.9949655820153384
255,1,0.0002,5.0,1.0,0.15,5.0,28.51471676910904,0.9357154784107966,0.9589280558824869
108,1,0.0002,4.0,0.0,0.0,5.0,14.363598708318028,0.9957163497828526,0.9957163497828527
10,1,0.0002,3.0,0.0,0.15,5.0,12.80130751007924,0.9997321957837353,0.9998126474152972
