trial,alpha_observed,alpha_spatial_corrected,delta_alpha_spatial,model_index,phi0,g,delta,rh_pc,rt_pc
1,1.914,1.919,0.0050000000000001155,156,4.0,1.0,0.3,4.0,19.726470053745476
2,1.964,1.964,0.0,317,6.0,0.0,0.0,4.0,15.790232470456287
3,2.08,2.081,0.0009999999999998899,219,5.0,0.0,0.15,4.0,13.96674912522228
4,1.939,1.944,0.004999999999999893,156,4.0,1.0,0.3,4.0,19.726470053745476
5,1.936,1.941,0.0050000000000001155,156,4.0,1.0,0.3,4.0,19.726470053745476
6,2.113,2.114,0.0009999999999998899,219,5.0,0.0,0.15,4.0,13.96674912522228
7,2.074,2.0789999999999997,0.004999999999999893,254,5.0,1.0,0.15,4.0,22.81177341528723
8,2.042,2.042,0.0,219,5.0,0.0,0.15,4.0,13.96674912522228
9,1.999,2.004,0.004999999999999893,156,4.0,1.0,0.3,4.0,19.726470053745476
10,2.019,2.021,0.0019999999999997797,58,3.0,1.0,0.45,4.0,17.20520267224726
11,2.0140000000000002,2.018,0.0039999999999995595,156,4.0,1.0,0.3,4.0,19.726470053745476
12,1.996,2.0010000000000003,0.0050000000000003375,156,4.0,1.0,0.3,4.0,19.726470053745476
13,1.954,1.954,0.0,219,5.0,0.0,0.15,4.0,13.96674912522228
14,2.053,2.0540000000000003,0.001000000000000334,149,4.0,1.0,0.15,4.0,18.263534125613354
15,2.031,2.036,0.004999999999999893,254,5.0,1.0,0.15,4.0,22.81177341528723
16,1.929,1.934,0.004999999999999893,156,4.0,1.0,0.3,4.0,19.726470053745476
17,2.1950000000000003,2.2,0.004999999999999893,156,4.0,1.0,0.3,4.0,19.726470053745476
18,2.003,2.004,0.0009999999999998899,219,5.0,0.0,0.15,4.0,13.96674912522228
19,1.9000000000000001,1.9040000000000001,0.0040000000000000036,156,4.0,1.0,0.3,4.0,19.726470053745476
20,1.915,1.92,0.004999999999999893,254,5.0,1.0,0.15,4.0,22.81177341528723
21,2.0,2.005,0.004999999999999893,156,4.0,1.0,0.3,4.0,19.726470053745476
22,1.956,1.96,0.0040000000000000036,86,3.0,2.0,0.3,4.0,32.24266343324787
23,1.944,1.948,0.0040000000000000036,156,4.0,1.0,0.3,4.0,19.726470053745476
24,1.966,1.966,0.0,219,5.0,0.0,0.15,4.0,13.96674912522228
