phi0,g,delta,rh_pc,rt_pc,converged,nll,error,seconds,iteration
3.0,0.0,0.0,2.0,5.01853538955016,True,4084.2307896101565,,0.11619860003702343,1
3.0,0.0,0.0,3.0,7.52780308432524,True,2184.3981519440304,,0.11068699997849762,1
3.0,0.0,0.0,4.0,10.03707077910032,True,1389.054601592474,,0.1103011998347938,1
3.0,0.0,0.0,5.0,12.5463384738754,True,1291.6047440378093,,0.11147539992816746,1
3.0,0.0,0.0,6.0,15.05560616865048,True,1334.7606983327507,,0.11234520003199577,1
3.0,0.0,0.0,8.0,20.07414155820064,True,1457.531533641114,,0.11347710015252233,1
3.0,0.0,0.0,10.0,25.0926769477508,True,1559.3177451191057,,0.11487879999913275,1
3.0,0.0,0.15,2.0,5.120523004031696,True,3968.934097195396,,0.19792760000564158,1
3.0,0.0,0.15,3.0,7.680784506047545,True,2123.027450056431,,0.199130600085482,1
3.0,0.0,0.15,4.0,10.241046008063392,True,1358.4952820823435,,0.1967718000523746,1
3.0,0.0,0.15,5.0,12.80130751007924,True,1289.2530822571744,,0.19831619993783534,1
3.0,0.0,0.15,6.0,15.36156901209509,True,1337.8139971765036,,0.20029349997639656,1
3.0,0.0,0.15,8.0,20.482092016126785,True,1461.9525436883237,,0.199504200136289,1
3.0,0.0,0.15,10.0,25.60261502015848,True,1562.1099502375569,,0.19858940015546978,1
3.0,0.0,0.3,2.0,5.302060453608698,True,3786.0713023941507,,0.22212939988821745,1
3.0,0.0,0.3,3.0,7.953090680413047,True,2034.2569078798872,,0.22047759988345206,1
3.0,0.0,0.3,4.0,10.604120907217396,True,1319.6844034104138,,0.22146199992857873,1
3.0,0.0,0.3,5.0,13.255151134021744,True,1289.1976106791683,,0.2157102997880429,1
3.0,0.0,0.3,6.0,15.906181360826094,True,1342.2957897166284,,0.21461179992184043,1
3.0,0.0,0.3,8.0,21.208241814434793,True,1464.2615136876045,,0.2133349000941962,1
3.0,0.0,0.3,10.0,26.51030226804349,True,1560.6876105713511,,0.21430839993990958,1
3.0,0.0,0.45,2.0,5.577729288953659,True,3671.3153150170547,,0.24407470016740263,1
3.0,0.0,0.45,3.0,8.366593933430488,True,1981.5103567719327,,0.24025809997692704,1
3.0,0.0,0.45,4.0,11.155458577907318,True,1299.0602846916677,,0.23941019992344081,1
3.0,0.0,0.45,5.0,13.944323222384147,True,1293.3505936172987,,0.24092580005526543,1
3.0,0.0,0.45,6.0,16.733187866860977,True,1349.2620830307092,,0.23999059991911054,1
3.0,0.0,0.45,8.0,22.310917155814636,True,1463.9388982609394,,0.24284219997934997,1
3.0,0.0,0.45,10.0,27.888646444768295,True,1552.7294047010118,,0.23626030003651977,1
3.0,0.0,0.6,2.0,5.905568131304836,True,3562.4716789461363,,0.2564661998767406,1
